"dates","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
2018-07-01,182,0,20.3591871161788,20.2048140786406,20.2079092800042,20.3720990141448,20.5509633224672,20.6929690571354,20.8241717693718,20.8171315338963,20.8188298568345,21.2480839834104
2018-07-01 01:00:00,182,60,21.7208950102415,20.645936506486,20.4122581917089,20.421795794511,20.5486369746341,20.6733492159755,20.8122608657509,20.817167157831,20.819587082451,21.2480839834104
2018-07-01 02:00:00,182,120,22.9325554234164,21.3073622513675,20.8049320717075,20.539586843637,20.5699566817379,20.6621138669108,20.8005445799581,20.8169863969647,20.8203400027675,21.2480839834104
2018-07-01 03:00:00,182,180,22.821001964242,21.6786179118823,21.1442895208854,20.7151241054325,20.6245558250116,20.6638064178758,20.7898575265441,20.8166058369519,20.821087894712,21.2480839834104
2018-07-01 04:00:00,182,240,22.7891769572396,21.8210880232757,21.3270290431441,20.8729251954766,20.6983489979038,20.6808544409315,20.7812581233657,20.8160596056377,20.8218301285912,21.2480839834104
2018-07-01 05:00:00,182,300,22.4607662181113,21.847185416854,21.4226180383669,20.9928084136336,20.7737443496406,20.7098033073468,20.7756242646003,20.8153997113632,20.8225662332168,21.2480839834104
2018-07-01 06:00:00,182,360,22.4148240285254,21.8441586839536,21.4752089711341,21.0743923846156,20.8404948607328,20.7452980681116,20.7733378168036,20.8146886932848,20.823295947301,21.2480839834104
2018-07-01 07:00:00,182,420,21.3703854609533,21.6091093059199,21.435292875992,21.1256763913983,20.8964944257754,20.7824884824293,20.7743086810222,20.8139899812822,20.8240192383504,21.2480839834104
2018-07-01 08:00:00,182,480,20.4589301596761,21.1438903680537,21.2077326960222,21.11067984861,20.9326174312478,20.8173809889553,20.7781132196288,20.8133604078033,20.8247362901862,21.2480839834104
2018-07-01 09:00:00,182,540,20.0924515783405,20.8040250426297,20.9596867725891,21.03525005,20.9391975218102,20.8443377292255,20.7839872915962,20.8128444194866,20.8254474678724,21.2480839834104
2018-07-01 10:00:00,182,600,19.8858688250758,20.5837931716298,20.7669834416252,20.9425288692035,20.9214938022045,20.8593991177102,20.7908398264207,20.812467729875,20.8261532611238,21.2480839834104
2018-07-01 11:00:00,182,660,19.779509185559,20.4232769134201,20.6181069321437,20.8529691760361,20.8902752504684,20.8625442925126,20.7975565208356,20.812234286465,20.8268542096131,21.2480839834104
2018-07-01 12:00:00,182,720,19.7359416703977,20.32211507521,20.5105330372183,20.7736364044533,20.8531032210471,20.8560323454258,20.8032702557717,20.8121292086218,20.8275508287995,21.2480839834104
2018-07-01 13:00:00,182,780,19.6216929986713,20.2331034897598,20.4268789342085,20.7064969022969,20.814761213965,20.8427180962441,20.8074380930654,20.8121248468881,20.8282435534329,21.2480839834104
2018-07-01 14:00:00,182,840,19.475576064781,20.125052758344,20.3409988530825,20.6453434714193,20.7769089968523,20.8251015332607,20.8098077403802,20.8121869619067,20.8289327038157,21.2480839834104
2018-07-01 15:00:00,182,900,19.2123794055741,19.9634210307249,20.0870944460728,20.5623329085832,20.7350910840877,20.8044188344277,20.8103175068841,20.8122794681353,20.8296184687122,21.2480839834104
2018-07-01 16:00:00,182,960,18.9134096704287,19.7955084525622,19.9350209848794,20.4405732411456,20.6784805508439,20.7789705591598,20.808894853425,20.812366369848,20.8303009043227,21.2480839834104
2018-07-01 17:00:00,182,1020,18.7237989128313,19.6414495162728,19.8801155586164,20.2798952547893,20.604004892124,20.7459232490669,20.8052663043076,20.8124094860016,20.8309799382417,21.2480839834104
2018-07-01 18:00:00,182,1080,18.6575274311378,19.5557976524713,19.7991796480071,20.1682459378602,20.52729091962,20.7045694692511,20.7990140974276,20.8123648811206,20.8316553539594,21.2480839834104
2018-07-01 19:00:00,182,1140,18.5206055776807,19.473684719167,19.7237180224889,20.0952380077261,20.4543591176719,20.6586492719765,20.7899370951788,20.8121834304871,20.8323267688523,21.2480839834104
2018-07-01 20:00:00,182,1200,18.3136668363286,19.4298283991585,19.6108931050038,20.0405609056399,20.3860263898096,20.611064227255,20.7781323468684,20.8118168094699,20.8329936300355,21.2480839834104
2018-07-01 21:00:00,182,1260,18.3824385910121,19.1896730232847,19.6203443845005,19.9603550496776,20.3256866363257,20.5632943552736,20.7638672796372,20.8112210460427,20.8336552199617,21.2480839834104
2018-07-01 22:00:00,182,1320,18.6370542405231,19.4086790634026,19.4444551977897,19.9298125224675,20.2603329436966,20.5168117209332,20.7474632754218,20.810359232172,20.8343106803903,21.2480839834104
2018-07-01 23:00:00,182,1380,19.4672761734082,19.4319725879796,19.5085043520511,19.8921076653237,20.2098347052602,20.4713287001654,20.7292610363267,20.8092018166836,20.8349590383584,21.2480839834104
2018-07-02,183,0,19.6711588179908,19.0818666614472,19.9406627706262,19.8143939847386,20.1900121510846,20.4281931388197,20.7097198996154,20.8077266274739,20.8355992345563,21.2480839834104
2018-07-02 01:00:00,183,60,20.2769550381335,19.744890201776,19.7341988165461,19.8994842138404,20.1540925909097,20.3948691502263,20.6893138746887,20.8059222058325,20.8362301358513,21.2480839834104
2018-07-02 02:00:00,183,120,20.5511724530292,19.9771693140604,19.8843802151227,19.95263165415,20.1502156271,20.3681313747894,20.6688476316583,20.8037884094947,20.8368506300854,21.2480839834104
2018-07-02 03:00:00,183,180,20.4055280088327,20.0932287246267,20.0148712683019,20.0213776195844,20.1640121480913,20.3510924353719,20.6490186443583,20.8013390778765,20.8374596151374,21.2480839834104
2018-07-02 04:00:00,183,240,20.1004499845074,20.0960639541459,20.0761159998485,20.0820159754709,20.1874743319272,20.3436394737798,20.6305403349717,20.7986011993312,20.8380560686226,21.2480839834104
2018-07-02 05:00:00,183,300,19.6813464557804,20.0417190629726,20.0573412580219,20.1214455932128,20.2101761346923,20.3432532227852,20.6139240604464,20.7956127054206,20.8386390925794,21.2480839834104
2018-07-02 06:00:00,183,360,19.3885909459836,19.881840607421,20.0526070933331,20.1203313259861,20.2266766339075,20.345870496335,20.5993518895954,20.7924170046721,20.8392079358384,21.2480839834104
2018-07-02 07:00:00,183,420,19.0412700287313,19.8280842062711,19.8838138548684,20.124335870021,20.2275755343213,20.3483568406793,20.586652554245,20.7890563995278,20.8397620080989,21.2480839834104
2018-07-02 08:00:00,183,480,18.2551468287198,19.5256260915208,19.896092284134,20.0507867079727,20.2260570390082,20.3467265871431,20.5754480876147,20.7855666558509,20.8403008626127,21.2480839834104
2018-07-02 09:00:00,183,540,18.7039187240162,19.4548919914319,19.6141105913874,20.0317332517038,20.1923890578901,20.3416720492992,20.5651454529748,20.7819737505528,20.84082416598,21.2480839834104
2018-07-02 10:00:00,183,600,18.0148808119288,19.3649062613687,19.5887302472981,19.9254076567715,20.1745702093819,20.3266893763012,20.5552517891412,20.7782915798939,20.8413316584893,21.2480839834104
2018-07-02 11:00:00,183,660,18.0482700537832,18.961468949692,19.5595503307599,19.8607270943601,20.123739409454,20.3103173067009,20.5449666140935,20.7745242828128,20.8418231111324,21.2480839834104
2018-07-02 12:00:00,183,720,17.7207758949386,19.3373932443167,19.1487136838811,19.8164451052415,20.0806988781205,20.2843815081756,20.5341914447239,20.7706628844515,20.8422982925386,21.2480839834104
2018-07-02 13:00:00,183,780,17.7573833128226,18.8031197125646,19.3074774875077,19.7029943171091,20.0321980105315,20.2563660658612,20.5222473572724,20.7666969126184,20.8427569287402,21.2480839834104
2018-07-02 14:00:00,183,840,17.6163457255125,18.7198586383313,19.1855125075612,19.6260683046805,19.9811867101549,20.2232192904817,20.5091534342782,20.7626055110633,20.8431986886683,21.2480839834104
2018-07-02 15:00:00,183,900,17.5406791688569,18.6629426164355,19.0445455040124,19.5467034083866,19.9253024015399,20.1873307918741,20.4946687073505,20.7583686581378,20.8436231870928,21.2480839834104
2018-07-02 16:00:00,183,960,17.2894947269753,18.5716972440172,18.9322033352694,19.465711837026,19.8659876973723,20.148450536958,20.4787214935293,20.7539636668756,20.8440299443478,21.2480839834104
2018-07-02 17:00:00,183,1020,17.2082433219696,18.4663809617467,18.824751491421,19.3844397607723,19.8052139671326,20.1069157272505,20.4612522299293,20.7493671286476,20.8444184075614,21.2480839834104
2018-07-02 18:00:00,183,1080,17.335980201742,18.3166327623961,18.7972882502972,19.2955390041831,19.7456953209544,20.0630284630766,20.4422522465102,20.744555506157,20.8447879498684,21.2480839834104
2018-07-02 19:00:00,183,1140,17.1092045444022,18.4879079488185,18.580938627416,19.2556053054178,19.6810475094234,20.0184686019741,20.421734629511,20.7395062658034,20.8451378515558,21.2480839834104
2018-07-02 20:00:00,183,1200,17.0845534298569,18.1525781242344,18.697871575595,19.1566791038844,19.6303721199229,19.9725409126393,20.3998464861844,20.7341984792768,20.8454673255603,21.2480839834104
2018-07-02 21:00:00,183,1260,17.2572336360838,18.0604546798699,18.6312073453451,19.1019449546588,19.5735706088444,19.9276986491335,20.376717696092,20.7286146385642,20.8457755198817,21.2480839834104
2018-07-02 22:00:00,183,1320,18.193401098843,18.2013276761251,18.5917407394981,19.0494803240098,19.5212541254655,19.8831873159508,20.3525373885532,20.7227408784806,20.8460615345021,21.2480839834104
2018-07-02 23:00:00,183,1380,18.847297976858,18.5327504302237,18.7102594115279,19.0416655115674,19.4781055364637,19.8402507966363,20.3275008540196,20.7165669223528,20.8463244101928,21.2480839834104
2018-07-03,184,0,18.9437061225018,18.7579836535119,18.8333961157796,19.0835904700442,19.4552977921489,19.8027281632244,20.3019630817029,20.7100876321378,20.8465631941347,21.2480839834104
2018-07-03 01:00:00,184,60,19.647982461532,18.9974383451546,18.9622826179587,19.1408993691004,19.4523096481694,19.7739367494473,20.2765637892777,20.7033079258596,20.8467768320687,21.2480839834104
2018-07-03 02:00:00,184,120,19.8250833238755,19.2531502659399,19.1456452314612,19.2186267841796,19.4654554776837,19.7549437932244,20.2520515991372,20.696244405013,20.8469645036105,21.2480839834104
2018-07-03 03:00:00,184,180,19.948736839787,19.3988431071937,19.2955730681962,19.3077264455011,19.4935241345414,19.7462087165344,20.2291259069176,20.6889274261972,20.8471253689865,21.2480839834104
2018-07-03 04:00:00,184,240,19.8132545185518,19.5649846870077,19.3602316762828,19.399820268657,19.5296498311059,19.7471179849961,20.2083982967996,20.6813986417745,20.8472587432148,21.2480839834104
2018-07-03 05:00:00,184,300,19.5980285671746,19.3915665859558,19.5584859520237,19.4465870642533,19.5727166113502,19.7551926169849,20.190299695146,20.673708400102,20.8473640888188,21.2480839834104
2018-07-03 06:00:00,184,360,19.5835856232939,19.5451950881807,19.4451369473036,19.5232557701869,19.6042357263913,19.7686493896331,20.1749849144484,20.6659111720479,20.847441070902,21.2480839834104
2018-07-03 07:00:00,184,420,18.5771382620223,19.6933497282516,19.3237046999236,19.562404655981,19.6354759731469,19.7832808703801,20.1623889565473,20.6580606672556,20.8474895511218,21.2480839834104
2018-07-03 08:00:00,184,480,18.3037013498513,19.3042644269607,19.319267241742,19.5497692786595,19.6559502366693,19.7973392005305,20.1522096309389,20.6502056007296,20.8475095826974,21.2480839834104
2018-07-03 09:00:00,184,540,18.2658973008,19.1390466310664,19.2295599202105,19.513747170894,19.6602155182158,19.8077641552286,20.1439572184819,20.642386507357,20.8475013474057,21.2480839834104
2018-07-03 10:00:00,184,600,17.8312723969918,18.9794515293592,19.1575994896991,19.4667857345809,19.6517979469857,19.8120214902353,20.1369982401524,20.6346318636243,20.8474651950393,21.2480839834104
2018-07-03 11:00:00,184,660,17.7291084980013,18.7914145200619,19.0453723640122,19.4088107983159,19.6331927095367,19.8098800787008,20.1306556328072,20.6269572312956,20.8474015337785,21.2480839834104
2018-07-03 12:00:00,184,720,17.7043960319645,18.6963518173872,18.9537566202203,19.3445067810014,19.605199623934,19.8013288757617,20.1243341638061,20.6193660244037,20.8473108030285,21.2480839834104
2018-07-03 13:00:00,184,780,17.0997080157216,18.5449398126755,18.8558582560633,19.2829162237481,19.5716780440229,19.7869906204816,20.117530696228,20.6118513850809,20.8471934334395,21.2480839834104
2018-07-03 14:00:00,184,840,16.9610343650245,18.3411645734694,18.7083433444919,19.2070116289022,19.5323756057909,19.767792840657,20.1098785203969,20.6043986079711,20.8470498142997,21.2480839834104
2018-07-03 15:00:00,184,900,16.973913211989,18.2170485174479,18.5674107751421,19.1172111154207,19.4844202911815,19.7434928507619,20.101084961795,20.5969875385143,20.8468802584303,21.2480839834104
2018-07-03 16:00:00,184,960,16.6981865443475,18.053331851287,18.4698144089008,19.026179181976,19.4303324775661,19.7138615708571,20.09086222351,20.589593094613,20.846685015988,21.2480839834104
