"dates","DOY","TIME","PT0cm","PT2.5cm","PT5cm","PT10cm","PT15cm","PT20cm","PT30cm","PT50cm","PT100cm","PT200cm"
2018-07-01,182,0,-11674.1964825706,-710208.973634191,-105687.258027826,-13121.4841457372,-2734.72238589416,-662.72231433742,-626.226937993316,-581.634271648347,-550.199526627089,-2.30080508341997
2018-07-01 01:00:00,182,60,-11541.8554293238,-710333.39984369,-107384.183401583,-13067.2491463253,-2598.28688009425,-672.496525674127,-628.095626854512,-583.183025472794,-550.204524272213,-2.30080508341997
2018-07-01 02:00:00,182,120,-13113.1181162864,-710288.670002747,-109081.517592356,-13010.2991978424,-2467.12924755985,-682.27937465147,-630.113968561277,-584.826746586753,-550.2097596112,-2.30080508341997
2018-07-01 03:00:00,182,180,-15009.7518621153,-710036.486017917,-110770.753841765,-12951.0888121761,-2341.33429651739,-691.853249622579,-632.216172338633,-586.523587490764,-550.215241457401,-2.30080508341997
2018-07-01 04:00:00,182,240,-17514.6462247763,-709552.302874435,-112431.447516755,-12889.5001311438,-2221.48627501422,-701.235545918028,-634.406028274335,-588.276130603935,-550.220975879477,-2.30080508341997
2018-07-01 05:00:00,182,300,-19040.7101233701,-708820.434531422,-114051.723744786,-12825.1302672964,-2107.6613649028,-710.256159509722,-636.631257804394,-590.051133093554,-550.226966323172,-2.30080508341997
2018-07-01 06:00:00,182,360,-19613.7283604782,-707830.036227631,-115625.387812431,-12757.6571017073,-2000.2924648742,-718.918220297298,-638.89019998838,-591.847665003148,-550.233213912029,-2.30080508341997
2018-07-01 07:00:00,182,420,-13439.9287580887,-706577.77844932,-117141.315986515,-12686.7857915523,-1899.39047305314,-727.095349999734,-641.142576432835,-593.640116096328,-550.239717656612,-2.30080508341997
2018-07-01 08:00:00,182,480,-8538.56994986451,-705080.669829502,-118579.460520443,-12612.0156701781,-1805.25422809324,-734.807583167442,-643.39053533205,-595.429956456827,-550.246475046987,-2.30080508341997
2018-07-01 09:00:00,182,540,-7157.25530667017,-703348.165345852,-119939.659093305,-12532.9108209627,-1718.19586862077,-742.1169642044,-645.648716990325,-597.226646062407,-550.253484433266,-2.30080508341997
2018-07-01 10:00:00,182,600,-6176.67569438519,-701380.71630582,-121229.619270254,-12449.3750425261,-1638.27789555129,-749.037906662757,-647.917979394895,-599.03085359827,-550.2607448282,-2.30080508341997
2018-07-01 11:00:00,182,660,-5712.35558518542,-699177.964074873,-122455.223241368,-12361.4434232043,-1565.23163168454,-755.513742249314,-650.177979823308,-600.829698888832,-550.268254304491,-2.30080508341997
2018-07-01 12:00:00,182,720,-5420.33865595229,-696737.654224577,-123621.666016071,-12269.2188242412,-1498.80763981369,-761.533024984619,-652.420792591269,-602.618214022849,-550.276009779821,-2.30080508341997
2018-07-01 13:00:00,182,780,-5032.22224004281,-694059.638729267,-124732.159708186,-12172.8199031983,-1438.71722886925,-767.103970584734,-654.643716579266,-604.394759127673,-550.284007789606,-2.30080508341997
2018-07-01 14:00:00,182,840,-6.25439089878517,-41.3914255497847,-125657.207712334,-12070.0023671848,-1370.79045709963,-767.761378847409,-655.536974705575,-605.32242420466,-550.29220846315,-2.30080508341997
2018-07-01 15:00:00,182,900,-5.23934926819304,-10.0044731508888,-14929.0541818263,-11958.8599351453,-1287.3301464107,-760.791276911995,-654.228212342623,-604.84053890207,-550.300412545927,-2.30080508341997
2018-07-01 16:00:00,182,960,-4.75418971252188,-7.32349233262739,-24.1544310687936,-11819.5750495464,-1203.8393812952,-751.006766894148,-652.057771043364,-603.802646586536,-550.30850674677,-2.30080508341997
