"dates","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
2018-07-01,182,0,22.3880114867173,22.6458787776146,23.1934192914295,23.2125324615348,23.478661150593,23.6499064524745,23.8465964772098,23.9293191829548,23.9488657027214,24.3297654279385
2018-07-01 01:00:00,182,60,23.6194555770437,23.1091474207701,23.1005975921177,23.2709432735151,23.4654907737352,23.6298648410035,23.8325335345292,23.9277340950973,23.949484924928,24.3297654279385
2018-07-01 02:00:00,182,120,24.4104972583649,23.5367076063378,23.3326555421146,23.3348212973789,23.4708158843235,23.6150777626266,23.8187142085501,23.9259263307072,23.950094763395,24.3297654279385
2018-07-01 03:00:00,182,180,24.723904170127,23.8531782711443,23.5717896236481,23.4385890945707,23.4966454648064,23.6084628424767,23.8056676956106,23.9239114647509,23.9506945020196,24.3297654279385
2018-07-01 04:00:00,182,240,24.893048713921,24.0576709304655,23.7567495762693,23.5495238368522,23.5388698934831,23.612011724935,23.7940770894591,23.9217164866901,23.9512835030265,24.3297654279385
2018-07-01 05:00:00,182,300,24.8263059992557,24.1764814405789,23.8910336940345,23.6502592202433,23.5888460419478,23.6250091652763,23.7845921255018,23.9193809079193,23.9518612512537,24.3297654279385
2018-07-01 06:00:00,182,360,24.5235694971802,24.1803076392781,23.9536459077516,23.730187795063,23.6391934036065,23.6450073075838,23.7776367189626,23.9169537219535,23.9524273934497,24.3297654279385
2018-07-01 07:00:00,182,420,23.3202847672433,23.9482825326495,23.8970347950977,23.7749886925251,23.68273560722,23.6686689191451,23.7733357483277,23.9144879335696,23.9529817617665,24.3297654279385
2018-07-01 08:00:00,182,480,22.7155706692626,23.5569880538766,23.6841164571658,23.7545842936212,23.7077867813075,23.6915544874629,23.771478591549,23.9120343521474,23.9535243758087,24.3297654279385
2018-07-01 09:00:00,182,540,22.5567213073861,23.3370510226905,23.505339484415,23.6897586678119,23.7078530085094,23.707938027293,23.7714415480047,23.9096344276861,23.9540554219299,24.3297654279385
2018-07-01 10:00:00,182,600,22.3581144218088,23.186739958218,23.3751508347995,23.6208163779799,23.6908566440508,23.7148926896778,23.7722918280161,23.9073129584651,23.9545752054138,24.3297654279385
2018-07-01 11:00:00,182,660,22.301628282989,23.0597272890557,23.2633849840797,23.5546872963052,23.665197863173,23.713104469254,23.7731374126369,23.9050759282313,23.9550840840542,24.3297654279385
2018-07-01 12:00:00,182,720,22.3045726013816,22.9941319037789,23.1879930066444,23.4955186356122,23.6354037972343,23.7044406619162,23.7733234072581,23.9029141080083,23.955582406352,24.3297654279385
2018-07-01 13:00:00,182,780,22.1491900225813,22.9214362910191,23.1267508406275,23.4462113377997,23.6050935273817,23.691042535014,23.7724486940551,23.9008083493464,23.9560704666455,24.3297654279385
2018-07-01 14:00:00,182,840,21.9809701880308,22.8149918983343,23.0500265594865,23.3982997399293,23.5748928562464,23.674740045844,23.770335172419,23.8987345318003,23.9565484791949,24.3297654279385
2018-07-01 15:00:00,182,900,20.5772994961789,22.3675019139364,22.5797763123483,23.3034666535179,23.5375282612777,23.655875868051,23.766930447341,23.8966672557583,23.9570165562149,24.3297654279385
2018-07-01 16:00:00,182,960,20.2933516185141,21.9759986406674,22.2346539262071,23.0855738797193,23.4597258502081,23.6290987640873,23.7620013880723,23.8945799405799,23.9574747071813,24.3297654279385
2018-07-01 17:00:00,182,1020,20.1820183367571,21.7269184858323,22.1357820108396,22.8069667536213,23.3424060105601,23.585147312833,23.7546498984587,23.89243611714,23.9579228410835,24.3297654279385
2018-07-01 18:00:00,182,1080,20.1393447923227,21.6187695235126,22.0120318750265,22.6351999285,23.2192262428712,23.5236757706893,23.7436382551476,23.890178286782,23.9583607053844,24.3297654279385
2018-07-01 19:00:00,182,1140,20.0099389792224,21.5170718990682,21.9093905829463,22.5373713723725,23.1007948686532,23.4523734055368,23.7282884478337,23.887731022935,23.9587878114205,24.3297654279385
2018-07-01 20:00:00,182,1200,19.9341212016698,21.410606399993,21.8108843229429,22.4574172905532,22.9976558779476,23.3781072240562,23.7086016708387,23.8850147703308,23.9592033937279,24.3297654279385
2018-07-01 21:00:00,182,1260,19.7717597563966,21.4058111203089,21.6853151499385,22.384934183636,22.9068342932777,23.3055105736075,23.6850891866317,23.8819579753397,23.959606422137,24.3297654279385
2018-07-01 22:00:00,182,1320,20.3400993813121,21.236249002163,21.7092620258722,22.2994238677362,22.8278137167264,23.2361546112064,23.6584410117147,23.8785023310075,23.9599956313123,24.3297654279385
2018-07-01 23:00:00,182,1380,20.9278423205428,21.2279035263501,21.6918128225798,22.2449674433221,22.757791827083,23.1708172989098,23.6293655897993,23.8746051294702,23.960369589124,24.3297654279385
2018-07-02,183,0,20.462422402488,21.3484564493135,21.6537565266351,22.2092673420937,22.6977514486144,23.1109154396437,23.5985187884257,23.8702384651691,23.9607267466378,24.3297654279385
2018-07-02 01:00:00,183,60,20.7389111185081,21.4289851108195,21.6662707063903,22.1806098826883,22.6505817321079,23.0567509538588,23.5665533919525,23.8653886375069,23.961065398237,24.3297654279385
2018-07-02 02:00:00,183,120,20.5906904496377,21.4436414900866,21.6833548448325,22.1642901817928,22.6122447289413,23.0086586720469,23.5341238781961,23.8600526911369,23.9613839877426,24.3297654279385
2018-07-02 03:00:00,183,180,20.308068642585,21.3910407811396,21.6627006032969,22.1469289292562,22.5803889674663,22.9662789882493,23.501762844218,23.8542404442668,23.9616808873347,24.3297654279385
2018-07-02 04:00:00,183,240,20.1295298593457,21.304809045145,21.6080157909029,22.1178800162286,22.5495294458377,22.9282570512002,23.4698700296038,23.8479704000314,23.9619545367905,24.3297654279385
2018-07-02 05:00:00,183,300,19.865317495032,21.2792877356338,21.5110847190611,22.0823148188829,22.5149956882693,22.8926180364235,23.4386432760416,23.8412662214761,23.9622034706599,24.3297654279385
2018-07-02 06:00:00,183,360,19.3300653189369,21.2410885788703,21.4603551208355,22.0299163730386,22.4792965374643,22.8572565278601,23.4081001974549,23.834152968324,23.9624262994911,24.3297654279385
2018-07-02 07:00:00,183,420,18.9650798783872,21.1012849190744,21.3713729060366,21.982242820732,22.4392740308265,22.8217749373333,23.3781209450546,23.8266542149963,23.9626217134067,24.3297654279385
2018-07-02 08:00:00,183,480,18.8693367280901,20.9401671291307,21.2306877891372,21.9174588949824,22.3947733993854,22.7852846640098,23.3485787906097,23.8187895643476,23.9627885484444,24.3297654279385
2018-07-02 09:00:00,183,540,18.9779522256463,20.852255734513,21.1244907123644,21.8409719990119,22.3434310700021,22.7464952949534,23.319264010628,23.8105755819584,23.9629256614581,24.3297654279385
2018-07-02 10:00:00,183,600,18.5697728393674,20.7455234228991,21.034563671703,21.7685496314554,22.288768816849,22.7049202488838,23.2899101091127,23.8020234827678,23.9630319785875,24.3297654279385
2018-07-02 11:00:00,183,660,18.5303110515074,20.5773598987472,20.9098307302888,21.6907162697134,22.2317502990195,22.6611561075672,23.2602987246528,23.7931393810971,23.9631064623499,24.3297654279385
2018-07-02 12:00:00,183,720,18.552700343057,20.4502489199155,20.8106197922667,21.6057137623435,22.1709762290008,22.6151350005182,23.2302675123613,23.7839256821643,23.9631480957966,24.3297654279385
2018-07-02 13:00:00,183,780,18.3609025363099,20.3183254609836,20.7236326015599,21.5226541327553,22.1081796927631,22.5668671858987,23.1996644281007,23.7743816966255,23.9631558705879,24.3297654279385
2018-07-02 14:00:00,183,840,18.4022730147854,20.1932836582396,20.6302950629713,21.4391146396758,22.0442786015042,22.5168581143104,23.1683814988254,23.7645042093441,23.9631287767327,24.3297654279385
2018-07-02 15:00:00,183,900,18.6033450495473,20.1046775156043,20.535390713814,21.3522019133681,21.9786767379291,22.4653654414414,23.1363571175839,23.7542885913097,23.9630657870908,24.3297654279385
2018-07-02 16:00:00,183,960,18.5656267188214,20.0616121757465,20.4811337066375,21.2717080525117,21.9119785047339,22.4124255894147,23.1035464277115,23.743729343297,23.9629658629717,24.3297654279385
2018-07-02 17:00:00,183,1020,18.6603872576796,20.0237489395546,20.4341076400954,21.2037990009683,21.847895285197,22.3588476246088,23.0699396705001,23.7328204800755,23.9628279532725,24.3297654279385
2018-07-02 18:00:00,183,1080,18.739407822796,20.0199720507047,20.406695004058,21.1477003775895,21.7883121354245,22.3058130280918,23.0356202726589,23.7215568376075,23.9626509928788,24.3297654279385
2018-07-02 19:00:00,183,1140,18.4893038163577,20.034186889252,20.3583715842434,21.1046241878185,21.734358288912,22.2544314435329,23.0007585600948,23.7099355895057,23.962433929726,24.3297654279385
2018-07-02 20:00:00,183,1200,18.6048912911073,19.9035109452019,20.3547607440339,21.0567754275545,21.6843728472799,22.2055013415803,22.9655761936274,23.6979583581881,23.9621756728117,24.3297654279385
2018-07-02 21:00:00,183,1260,18.8260343500856,19.8131744863836,20.3531704518708,21.0054523156432,21.6395001554326,22.1582205708763,22.9303149101331,23.6856305995713,23.9618751709426,24.3297654279385
2018-07-02 22:00:00,183,1320,18.9524545773801,20.1552595766225,20.2126027010414,20.9950054541914,21.5886776740406,22.1140315131965,22.8950804004145,23.6729618781688,23.9615314050575,24.3297654279385
2018-07-02 23:00:00,183,1380,19.0841007188257,20.2045055153696,20.3352060866227,20.9730514544726,21.555068453766,22.071076745053,22.8600984412475,23.659963923978,23.9611433463718,24.3297654279385
2018-07-03,184,0,19.0720179131283,20.2325758089364,20.3801398528823,20.977083810571,21.5293111324321,22.0328690243043,22.825565503696,23.6466510766273,23.9607101570295,24.3297654279385
2018-07-03 01:00:00,184,60,20.0427175066127,20.2886682894647,20.4704055595366,20.9814694709361,21.5114023521315,21.9998143648268,22.7918260328398,23.6330465026442,23.9602307059574,24.3297654279385
2018-07-03 02:00:00,184,120,20.0584378574902,20.4551322319756,20.5859806118557,21.0108987600277,21.5014794211516,21.9719050319092,22.7592015328552,23.6191730563496,23.9597045037964,24.3297654279385
2018-07-03 03:00:00,184,180,20.3229505676668,20.5246613647513,20.6774272490369,21.0519847145269,21.5021904703096,21.9499831392327,22.7280027262821,23.6050620705695,23.9591308633614,24.3297654279385
2018-07-03 04:00:00,184,240,19.9984876258779,20.5923181209145,20.7337605619365,21.0928656296576,21.5096043424959,21.9341876257951,22.6985562613671,23.5907498571601,23.9585092489976,24.3297654279385
2018-07-03 05:00:00,184,300,19.9260623034908,20.5794824820349,20.7578134238716,21.1222716769806,21.519293150843,21.9234448348824,22.671107189508,23.5762774038986,23.9578392534896,24.3297654279385
2018-07-03 06:00:00,184,360,20.1368114843825,20.5549615402782,20.7740200421321,21.1389201203295,21.5270268889891,21.915890056443,22.6457444501796,23.5616873465598,23.9571206661641,24.3297654279385
2018-07-03 07:00:00,184,420,19.4829334931099,20.456593727709,20.7685505645861,21.1469519266877,21.5319349783337,21.9097784348006,22.6223902797711,23.5470216253565,23.9563533863746,24.3297654279385
