"dates","DOY","TIME","PT0cm","PT2.5cm","PT5cm","PT10cm","PT15cm","PT20cm","PT30cm","PT50cm","PT100cm","PT200cm"
2020-07-01,183,0,-59310.3866192065,-830962.947839045,-114064.013901251,-9241.0595659435,-1327.53058750263,-307.258787416128,-300.444720472436,-291.547433375153,-205.049045649339,-2.28034117013345
2020-07-01 01:00:00,183,60,-30259.8750096199,-830935.55343632,-115537.488874276,-9070.94448057586,-1238.85752529891,-317.220923724056,-301.855210448174,-292.450437230777,-205.067711455334,-2.28034117013345
2020-07-01 02:00:00,183,120,-21997.0102011537,-830817.39135234,-116985.308105777,-8896.21784852724,-1160.20953375437,-326.582318935472,-303.269863077327,-293.350144048118,-205.086735553337,-2.28034117013345
2020-07-01 03:00:00,183,180,-18273.7832369142,-830593.433197362,-118409.923110682,-8716.76575026383,-1090.80310877255,-335.31956913593,-304.678198995605,-294.239682253916,-205.106111609325,-2.28034117013345
2020-07-01 04:00:00,183,240,-17103.1517608867,-830248.115152178,-119809.61019027,-8532.45744668734,-1029.77694167855,-343.423868253406,-306.073073585781,-295.114500243729,-205.125831694563,-2.28034117013345
2020-07-01 05:00:00,183,300,-16606.173800401,-829771.69396915,-121168.03974715,-8343.20773469293,-976.279845043064,-350.905733075001,-307.451887834068,-295.973082192393,-205.145887180432,-2.28034117013345
2020-07-01 06:00:00,183,360,-15717.581841923,-829156.884807142,-122470.905255469,-8148.67092170951,-929.392089496925,-357.770509240142,-308.809285415264,-296.812252866827,-205.166268903218,-2.28034117013345
2020-07-01 07:00:00,183,420,-12472.418868185,-828393.603119114,-123724.874534279,-7948.44756646147,-888.411991014702,-364.063902933619,-310.150711069764,-297.635776958215,-205.186968104194,-2.28034117013345
2020-07-01 08:00:00,183,480,-9650.0717015987,-827486.177859534,-124906.819942383,-7742.2744418522,-852.650231804463,-369.831063965969,-311.480633775253,-298.446814630347,-205.207977255448,-2.28034117013345
2020-07-01 09:00:00,183,540,-7858.15690704043,-826429.538112451,-126025.529124499,-7529.86104570008,-821.503726015044,-375.126457251942,-312.805670642824,-299.249894125243,-205.229290160154,-2.28034117013345
2020-07-01 10:00:00,183,600,-6540.86785157041,-825219.061216443,-127086.566400362,-7310.98880693857,-794.433572321463,-380.007582970707,-314.133050138434,-300.049919576004,-205.250902153348,-2.28034117013345
2020-07-01 11:00:00,183,660,-5791.53926909415,-823850.498134738,-128092.547523114,-7085.44687189891,-770.913183721471,-384.52228485467,-315.467279130755,-300.850058555465,-205.272809824178,-2.28034117013345
2020-07-01 12:00:00,183,720,-5284.2275621079,-822318.472131163,-129046.615894267,-6853.02597684388,-750.545520590265,-388.733544446519,-316.81725668796,-301.656236176208,-205.295011189037,-2.28034117013345
2020-07-01 13:00:00,183,780,-5030.88979895589,-820618.481485533,-129950.938664466,-6613.45569575454,-732.944711277445,-392.695708616985,-318.189840759542,-302.473057710311,-205.317505801449,-2.28034117013345
2020-07-01 14:00:00,183,840,-6.9275765777377,-44.7570200338397,-130701.46191034,-6364.69848178878,-713.848033319894,-395.540804374972,-319.339972587872,-303.146680898717,-205.340284178495,-2.28034117013345
2020-07-01 15:00:00,183,900,-8.51817087943153,-12.7579235357573,-15089.5138627709,-6102.93516951962,-687.58204180192,-395.776576172747,-319.839632320153,-303.409504147808,-205.363239966502,-2.28034117013345
2020-07-01 16:00:00,183,960,-22.3125538367967,-27.5475160616775,-478.021754092913,-5830.98358351999,-665.904167625949,-396.116947454252,-320.412636911096,-303.717815165569,-205.386319225681,-2.28034117013345
2020-07-01 17:00:00,183,1020,-33.6980826253501,-41.3179694196098,-177.093551098198,-5540.19758480779,-642.410352064444,-395.190008870518,-320.678127190307,-303.832565615065,-205.40951747468,-2.28034117013345
2020-07-01 18:00:00,183,1080,-44.129817539327,-53.1343637501596,-131.882908513079,-5224.98367474895,-620.472472562953,-393.837946286474,-320.8522930705,-303.890201257871,-205.432788317651,-2.28034117013345
2020-07-01 19:00:00,183,1140,-53.8512857812809,-63.7110930848934,-127.272159324103,-4886.93699078118,-601.226552117901,-392.507951017267,-321.051860486664,-303.964218456146,-205.456129501942,-2.28034117013345
2020-07-01 20:00:00,183,1200,-63.0001901934973,-73.8877166943151,-134.553986102965,-4530.9369175985,-584.345883587771,-391.294040763976,-321.299214784911,-304.068758309669,-205.479547771163,-2.28034117013345
2020-07-01 21:00:00,183,1260,-71.9199447351936,-84.1331574050642,-146.606260513152,-4161.22137042991,-569.405392052206,-390.237014072281,-321.602958132046,-304.209276483691,-205.503052120089,-2.28034117013345
2020-07-01 22:00:00,183,1320,-80.62974928641,-94.6506706271109,-161.076269295789,-3781.67244272176,-556.095901423922,-389.371462004741,-321.970626031975,-304.390535584707,-205.526652790936,-2.28034117013345
2020-07-01 23:00:00,183,1380,-90.2493606341457,-105.689402727481,-177.078389007374,-3396.97685163377,-544.348342947973,-388.762008552673,-322.418850017034,-304.62296684358,-205.550362116159,-2.28034117013345
2020-07-02,184,0,-111.232592380326,-130.156508713052,-212.545779616411,-2636.92590430505,-525.745406356272,-388.580949901737,-323.630884895019,-305.287431792539,-205.598171386228,-2.28034117013345
2020-07-02 01:00:00,184,60,-123.17288713874,-143.843786991634,-231.650089733755,-2276.81991648397,-518.904195185103,-389.081741757635,-324.415961826355,-305.73254428553,-205.622310267145,-2.28034117013345
2020-07-02 02:00:00,184,120,-138.08115068213,-158.58864521342,-251.061839958751,-1941.41639329689,-513.264212454511,-389.876281526807,-325.293267246593,-306.235767686629,-205.646629741523,-2.28034117013345
2020-07-02 03:00:00,184,180,-154.571733498953,-174.222784014215,-269.930855216319,-1639.61379956207,-508.145778007553,-390.765593133095,-326.207152421441,-306.762317039694,-205.671139307807,-2.28034117013345
2020-07-02 04:00:00,184,240,-172.37319622807,-190.355701000223,-287.481415178122,-1379.48333619935,-503.058010276405,-391.588751035021,-327.111833639071,-307.283729740233,-205.69583929213,-2.28034117013345
