"dates","DOY","TIME","PT0cm","PT2.5cm","PT5cm","PT10cm","PT15cm","PT20cm","PT30cm","PT50cm","PT100cm","PT200cm"
2020-07-01,183,0,-887934.364446897,-55945749.6726291,-5447123.57887278,-272846.644814411,-25314.9846060313,-3130.29236210196,-2273.83672440893,-1941.31241559953,-1592.96853676122,-3.02175902751415
2020-07-01 01:00:00,183,60,-66225.4806530763,-55945615.5004207,-5446919.57106704,-273953.826408327,-25544.1381587234,-3109.11139286153,-2273.41973299733,-1943.75655358,-1592.99098161345,-3.02175902751415
2020-07-01 02:00:00,183,120,-36480.2338546995,-55945481.2279514,-5446715.49634841,-274976.966645566,-25769.5200502644,-3088.54975924911,-2273.04720915452,-1946.20369208129,-1593.01352778856,-3.02175902751415
2020-07-01 03:00:00,183,180,-28519.9994521355,-55945346.807416,-5446511.35425051,-275917.560268451,-25991.1844248612,-3068.58753084453,-2272.71397169646,-1948.65061937456,-1593.03617515377,-3.02175902751415
2020-07-01 04:00:00,183,240,-26566.6837509559,-55945212.2134502,-5446307.14426074,-276775.631098167,-26209.1511575588,-3049.21551075957,-2272.41874528121,-1951.09687532345,-1593.05892349888,-3.02175902751415
2020-07-01 05:00:00,183,300,-26263.153623913,-55945077.4284391,-5446102.86588482,-277549.84287424,-26423.2530405843,-3030.42551864227,-2272.16082015034,-1953.54238958651,-1593.08177260323,-3.02175902751415
2020-07-01 06:00:00,183,360,-25852.0403330822,-55944942.4386998,-5445898.51872663,-278237.708162047,-26633.0723604712,-3012.2047978666,-2271.93817460064,-1955.98615914402,-1593.10472222028,-3.02175902751415
2020-07-01 07:00:00,183,420,-24179.5286878566,-55944807.2303917,-5445694.10254146,-278837.541244438,-26837.9915646801,-2994.54399832354,-2271.75020451025,-1958.42817044029,-1593.12777208368,-3.02175902751415
2020-07-01 08:00:00,183,480,-22543.4023116924,-55944671.7879913,-5445489.61722196,-279349.007124346,-27037.3554166351,-2977.43580929601,-2271.59721967283,-1960.86904312598,-1593.15092194314,-3.02175902751415
2020-07-01 09:00:00,183,540,-21350.7155148205,-55944536.093611,-5445285.06276028,-279773.092990897,-27230.539062695,-2960.87049971331,-2271.47888742665,-1963.30893650259,-1593.17417156586,-3.02175902751415
2020-07-01 10:00:00,183,600,-20950.0738194826,-55944400.1285044,-5445080.43919344,-280112.67460724,-27417.0662703269,-2944.84424171892,-2271.39694794031,-1965.74945493828,-1593.19752076274,-3.02175902751415
2020-07-01 11:00:00,183,660,-21131.4279175811,-55944263.8709905,-5444875.74648012,-280372.569543721,-27596.597652347,-2929.33959941024,-2271.34865805091,-1968.18905216882,-1593.22096933934,-3.02175902751415
2020-07-01 12:00:00,183,720,-21024.3457052149,-55944127.3009683,-5444670.98460114,-280553.534330676,-27769.1632883062,-2914.34870267315,-2271.33444080064,-1970.62839259164,-1593.24451708693,-3.02175902751415
2020-07-01 13:00:00,183,780,-20794.1840488135,-55943990.3965945,-5444466.15349177,-280661.021519861,-27934.6127893678,-2899.85711189675,-2271.3525196338,-1973.06659441289,-1593.26816378903,-3.02175902751415
2020-07-01 14:00:00,183,840,-9.81222128500259,-20455.1325996092,-5444261.23049877,-280698.09521024,-28086.8478932626,-2866.27082304085,-2265.03386016191,-1971.05848736511,-1593.29185721774,-3.02175902751415
2020-07-01 15:00:00,183,900,-8.40618580876062,-24.7219174472964,-5327656.10308756,-280664.285257318,-28221.6370774026,-2801.22558902042,-2248.29270827619,-1961.76208648163,-1593.31522181155,-3.02175902751415
2020-07-01 16:00:00,183,960,-7.30347374233675,-12.9416747476132,-23095.7296041465,-280561.092803741,-28345.3769946675,-2728.42130938767,-2228.83496793891,-1950.56772969784,-1593.33810752994,-3.02175902751415
2020-07-01 17:00:00,183,1020,-19.6439395756755,-24.0491248139259,-118.025260911632,-280385.664325661,-28459.3693602232,-2655.32945014141,-2209.03817845719,-1939.13326200569,-1593.36046323707,-3.02175902751415
2020-07-01 18:00:00,183,1080,-34.559811416059,-40.1779867022455,-79.1212610281356,-280079.544583453,-28562.3340794387,-2578.74160140919,-2187.89711534475,-1926.76517958788,-1593.38224702129,-3.02175902751415
2020-07-01 19:00:00,183,1140,-47.4476644677619,-54.2590047821407,-95.637050817555,-277756.973701419,-28656.0391580987,-2503.65622681124,-2166.94243660761,-1914.52352516092,-1593.40344126892,-3.02175902751415
2020-07-01 20:00:00,183,1200,-60.2110534933614,-68.9167471736166,-118.684018777312,-271931.611417056,-28741.1023578877,-2430.45078198868,-2146.26366024752,-1902.46855810938,-1593.42404575584,-3.02175902751415
2020-07-01 21:00:00,183,1260,-73.8062912109193,-84.809829814464,-144.764680103745,-264550.824074073,-28817.7408004316,-2359.42259778531,-2125.9237681263,-1890.64178084078,-1593.4440625266,-3.02175902751415
2020-07-01 22:00:00,183,1320,-87.2279391261023,-102.102411920933,-173.596543648052,-256675.898804941,-28886.3081100606,-2290.8357845666,-2105.9752980009,-1879.07718303658,-1593.46349573772,-3.02175902751415
2020-07-01 23:00:00,183,1380,-105.797616538749,-121.962435616014,-205.702823864457,-248601.206923179,-28946.7523053813,-2225.1864663535,-2086.53764307095,-1867.85396046594,-1593.48235283079,-3.02175902751415
2020-07-02,184,0,-149.384475463818,-172.327724988991,-282.939568054352,-232134.453609291,-29048.612844731,-2103.90262118603,-2049.45354266368,-1846.5969013868,-1593.51838451135,-3.02175902751415
2020-07-02 01:00:00,184,60,-183.171057677697,-205.394627167592,-329.935772314492,-223502.448485237,-29088.9676612974,-2049.05830504831,-2031.99793268694,-1836.68650606494,-1593.53559081914,-3.02175902751415
2020-07-02 02:00:00,184,120,-232.150688785595,-246.144108816204,-383.369158220769,-214434.570664935,-29122.6997729347,-1998.37788051459,-2015.3391292539,-1827.29966032595,-1593.55228417019,-3.02175902751415
2020-07-02 03:00:00,184,180,-296.393202605193,-295.606742449584,-442.523479893287,-204784.204519904,-29149.8784419896,-1951.6693664808,-1999.42536827143,-1818.39851158921,-1593.56848578024,-3.02175902751415
2020-07-02 04:00:00,184,240,-378.896943221478,-353.512902933996,-505.334971588601,-194496.721817117,-29170.3615141701,-1908.53077065014,-1984.15358501007,-1809.91125004038,-1593.58421444525,-3.02175902751415
2020-07-02 05:00:00,184,300,-468.808761337046,-418.449395428067,-569.148858089521,-183702.796974336,-29183.894920826,-1868.58167525038,-1969.43032894472,-1801.77311150276,-1593.59948569663,-3.02175902751415
2020-07-02 06:00:00,184,360,-570.460786665875,-488.738098991065,-632.342536244501,-172700.740595125,-29190.1308359123,-1831.77706223163,-1955.25473105298,-1793.98162444695,-1593.61431391387,-3.02175902751415
2020-07-02 07:00:00,184,420,-648.578287590224,-562.387234416992,-693.974541478978,-161843.051949814,-29188.6293306071,-1798.1351564847,-1941.64644380646,-1786.54809190591,-1593.62871438927,-3.02175902751415
2020-07-02 08:00:00,184,480,-717.420318445325,-637.717379802576,-754.258768561834,-151440.146748939,-29179.0795216749,-1767.8341765562,-1928.6713909229,-1779.51458765359,-1593.64270456412,-3.02175902751415
2020-07-02 09:00:00,184,540,-765.398389866142,-713.116962408551,-813.347852614654,-141696.899549189,-29161.0116997138,-1740.92808662533,-1916.36728998457,-1772.90436406671,-1593.65630422873,-3.02175902751415
2020-07-02 10:00:00,184,600,-804.065319556926,-787.38766713722,-871.555191564073,-132715.992679853,-29133.9961685621,-1717.44523531952,-1904.76884741032,-1766.7386941068,-1593.66953497909,-3.02175902751415
2020-07-02 11:00:00,184,660,-845.497022500206,-859.68644421111,-929.047436539111,-124535.228340857,-29098.1963325762,-1697.34478950885,-1893.89581802398,-1761.02902338596,-1593.68241986161,-3.02175902751415
2020-07-02 12:00:00,184,720,-887.187699144696,-929.421607851565,-985.730232372252,-117127.177427584,-29053.4709794723,-1680.50735190325,-1883.74951618434,-1755.77475252978,-1593.69498273699,-3.02175902751415
2020-07-02 13:00:00,184,780,-918.037205629313,-996.094604398447,-1041.3254216717,-110437.084588353,-28999.7528809182,-1666.75631049169,-1874.31723301824,-1750.96622717498,-1593.70724765575,-3.02175902751415
2020-07-02 14:00:00,184,840,-50.1511969864568,-114.297365203383,-1006.69577958852,-104246.707432129,-28933.8587731986,-1640.91043166394,-1861.63894477845,-1744.00054722932,-1593.71917224008,-3.02175902751415
2020-07-02 15:00:00,184,900,-86.1946619873936,-152.947237710793,-878.449474370985,-98227.2027755047,-28856.6853355161,-1608.51477085396,-1847.0184762243,-1735.73792171351,-1593.73062406561,-3.02175902751415
2020-07-02 16:00:00,184,960,-118.178852092077,-190.118372292318,-764.441932102261,-92340.2454045526,-28769.3589273627,-1575.90935683919,-1832.06972702985,-1727.23931446453,-1593.74156787249,-3.02175902751415
2020-07-02 17:00:00,184,1020,-148.870382246709,-228.009860799222,-696.545156839068,-86603.0922874609,-28671.9784681779,-1544.20605549397,-1817.0787212206,-1718.6920026829,-1593.7519911717,-3.02175902751415
2020-07-02 18:00:00,184,1080,-179.320523103983,-268.667906175408,-663.869991462326,-81056.9120858946,-28564.5630060079,-1514.01354841769,-1802.21004275445,-1710.20296832646,-1593.76188922645,-3.02175902751415
2020-07-02 19:00:00,184,1140,-210.648403731424,-312.336665986479,-654.080148936055,-75753.2321682011,-28447.0260856687,-1485.74975496957,-1787.58580771717,-1701.85094014468,-1593.77126281277,-3.02175902751415
2020-07-02 20:00:00,184,1200,-243.447147631188,-358.997946450347,-659.186784659443,-70741.57125099,-28319.340341903,-1459.69887098443,-1773.29943374361,-1693.69558668084,-1593.78011704144,-3.02175902751415
2020-07-02 21:00:00,184,1260,-276.758387976824,-408.481492276953,-674.355145258751,-66058.8167244974,-28181.4961673375,-1436.0442060139,-1759.42319998922,-1685.78259431759,-1593.78846053368,-3.02175902751415
2020-07-02 22:00:00,184,1320,-308.791441380014,-460.38150762869,-696.61400771733,-61722.7632765393,-28033.1940360414,-1414.89645179556,-1746.01461849829,-1678.14792204017,-1593.79630482684,-3.02175902751415
2020-07-02 23:00:00,184,1380,-361.346220464426,-515.070462229468,-724.592386186252,-57739.9057730743,-27874.9048871839,-1396.45943870339,-1733.15925300527,-1670.84552056512,-1593.8036647881,-3.02175902751415
2020-07-03,185,0,-507.930811819938,-633.718300524612,-793.15955051293,-50787.6034600869,-27528.3224312162,-1367.79243809698,-1709.27394980545,-1657.33909208394,-1593.81700487577,-3.02175902751415
2020-07-03 01:00:00,185,60,-636.984373684328,-697.972164919463,-833.020871459761,-47779.6593857721,-27340.1637328726,-1357.73126177407,-1698.36718091788,-1651.21179800845,-1593.82302895803,-3.02175902751415
2020-07-03 02:00:00,185,120,-826.286587478948,-765.133580698277,-876.200190650095,-45051.308454174,-27142.1543470729,-1350.5465165684,-1688.21420270577,-1645.54083659877,-1593.82865628717,-3.02175902751415
2020-07-03 03:00:00,185,180,-1138.54011586713,-834.635172241884,-922.60971790202,-42576.6125700358,-26934.2959710629,-1346.26769198465,-1678.86589848395,-1640.35784495553,-1593.83391564816,-3.02175902751415
2020-07-03 04:00:00,185,240,-1485.51294193012,-904.555984069332,-971.048124948842,-40328.7974921025,-26716.476974058,-1344.64474918532,-1670.29896601269,-1635.64715838001,-1593.83883692302,-3.02175902751415
2020-07-03 05:00:00,185,300,-1949.89333407607,-973.856941957728,-1021.31752776293,-38281.8795243326,-26488.5663545777,-1345.6276173198,-1662.54008539638,-1631.42528453021,-1593.84345069209,-3.02175902751415
2020-07-03 06:00:00,185,360,-2464.46036527999,-1041.09595219887,-1072.40731281421,-36411.5574984682,-26250.3558466421,-1348.97101740679,-1655.56238982827,-1627.6747573833,-1593.84778795553,-3.02175902751415
2020-07-03 07:00:00,185,420,-2808.23423531711,-1104.95330279989,-1123.13899720879,-34694.9888866432,-26001.5699698036,-1354.36314894153,-1649.31699443757,-1624.36431677822,-1593.85187849134,-3.02175902751415
2020-07-03 08:00:00,185,480,-3016.52276987045,-1165.14209316186,-1173.10232053733,-33111.8781447881,-25742.0174344418,-1361.62117041998,-1643.78484549914,-1621.48193173222,-1593.85575103561,-3.02175902751415
2020-07-03 09:00:00,185,540,-3175.69786477303,-1221.6625860385,-1221.95017401126,-31644.5126915393,-25471.3367588298,-1370.55799492642,-1638.94260745644,-1619.01303920261,-1593.85943374246,-3.02175902751415
2020-07-03 10:00:00,185,600,-3163.06791992609,-1274.22685821769,-1268.98887572329,-30277.7718508937,-25189.5060371925,-1380.89934640742,-1634.74004013497,-1616.92614362032,-1593.86295342127,-3.02175902751415
2020-07-03 11:00:00,185,660,-3181.18786625002,-1323.33885927186,-1314.27714138495,-28998.5230430904,-24896.250201703,-1392.5039552193,-1631.15870271558,-1615.21011813769,-1593.86633569152,-3.02175902751415
2020-07-03 12:00:00,185,720,-3199.75341435633,-1369.10305840902,-1357.52163424524,-27795.7088073496,-24591.3857240623,-1405.16043066565,-1628.15855901214,-1613.84025616309,-1593.86960507912,-3.02175902751415
2020-07-03 13:00:00,185,780,-3246.28997188763,-1411.78704960948,-1398.64793204988,-26660.0986659869,-24275.0846206224,-1418.69436930155,-1625.70624717614,-1612.79620273962,-1593.87278469907,-3.02175902751415
2020-07-03 14:00:00,185,840,-86.3978971885619,-559.143591047235,-1355.52030944151,-25554.2509840919,-23942.6953859169,-1416.53389050495,-1619.27128616854,-1609.20388817293,-1593.87580414246,-3.02175902751415
2020-07-03 15:00:00,185,900,-143.546321934391,-451.025423551393,-1290.43801107234,-24440.9373087654,-23595.0816718624,-1408.11718270073,-1611.19660327995,-1604.5464583222,-1593.87850836915,-3.02175902751415
2020-07-03 16:00:00,185,960,-194.336735030032,-491.579433246344,-1231.7367923128,-23323.8542287315,-23232.7947042507,-1398.75104055209,-1602.87560995545,-1599.70707756313,-1593.88086703185,-3.02175902751415
2020-07-03 17:00:00,185,1020,-243.980296661381,-561.665693039836,-1186.63832295868,-22211.719753034,-22855.5625651358,-1389.74233509898,-1594.66050753801,-1594.90868770335,-1593.88287441229,-3.02175902751415
2020-07-03 18:00:00,185,1080,-293.427019615313,-639.310026513753,-1157.4355602858,-21114.5287719185,-22463.1009340885,-1381.82763226983,-1586.7643387935,-1590.28601587819,-1593.88453686684,-3.02175902751415
2020-07-03 19:00:00,185,1140,-344.480424210755,-718.405930282209,-1143.33821195299,-20041.6486480052,-22055.0002457142,-1375.44201173248,-1579.32735564079,-1585.92773417854,-1593.88586868107,-3.02175902751415
2020-07-03 20:00:00,185,1200,-396.744367305334,-796.505046056561,-1142.18917893858,-19000.6522438475,-21631.2195550229,-1370.81153129001,-1572.43817680871,-1581.88994934461,-1593.88688951145,-3.02175902751415
2020-07-03 21:00:00,185,1260,-449.352111553633,-872.171400957159,-1151.53059379711,-17996.8465444087,-21191.6669084886,-1368.02280943322,-1566.14979530174,-1578.20638638255,-1593.88762254586,-3.02175902751415
2020-07-03 22:00:00,185,1320,-499.851934554287,-944.349644928213,-1168.97357398474,-17033.2968697167,-20736.4175407402,-1367.05148694175,-1560.48509657591,-1574.89191604121,-1593.88809305256,-3.02175902751415
