"dates","DOY","TIME","PT0cm","PT2.5cm","PT5cm","PT10cm","PT15cm","PT20cm","PT30cm","PT50cm","PT100cm","PT200cm"
2018-07-01,182,0,-3934323.22328287,-55945749.6726327,-5447123.57900338,-272840.947736899,-25311.0057402768,-3130.2431533823,-2273.82999784961,-1941.30766260302,-1592.96853185458,-3.02175902751415
2018-07-01 01:00:00,182,60,-82644.0083745098,-55945615.5101054,-5446919.57171743,-273940.360555942,-25535.5829594302,-3109.03889964193,-2273.41452970045,-1943.75288286782,-1592.99097170777,-3.02175902751415
2018-07-01 02:00:00,182,120,-31856.8471570993,-55945481.2576001,-5446715.49793001,-274958.022208304,-25756.0899438303,-3088.45403515467,-2273.04305976356,-1946.20077021534,-1593.01351290364,-3.02175902751415
2018-07-01 03:00:00,182,180,-25914.8103438879,-55945346.8509248,-5446511.35713312,-275895.865776949,-25972.9141095806,-3068.4697538995,-2272.71082594549,-1948.64840952824,-1593.03615530136,-3.02175902751415
2018-07-01 04:00:00,182,240,-21360.8822636993,-55945212.261431,-5446307.14875824,-276754.050680152,-26186.2183266734,-3049.08312632629,-2272.41866755291,-1951.09683255777,-1593.0588987264,-3.02175902751415
2018-07-01 05:00:00,182,300,-23333.6179528559,-55945077.466148,-5446102.87222731,-277531.306542412,-26395.9383915337,-3030.2819530621,-2272.16445913909,-1953.5449706097,-1593.08174299899,-3.02175902751415
2018-07-01 06:00:00,182,360,-22428.3791261661,-55944942.4509514,-5445898.52702527,-278225.62786979,-26601.7685371039,-3012.04556413331,-2271.94344230174,-1955.98989439274,-1593.10468784472,-3.02175902751415
2018-07-01 07:00:00,182,420,-19532.0747699497,-55944807.202265,-5445694.11282117,-278833.542313032,-26803.1238165902,-2994.36714821988,-2271.75580766451,-1958.43215064096,-1593.12773294422,-3.02175902751415
2018-07-01 08:00:00,182,480,-18263.4263585077,-55944671.7032857,-5445489.62953174,-279351.868598714,-26999.1149632273,-2977.23560241303,-2271.60059082922,-1960.87146460834,-1593.15087798382,-3.02175902751415
2018-07-01 09:00:00,182,540,-18535.454209032,-55944535.9326482,-5445285.07725424,-279782.01836559,-27188.8938053207,-2960.65057151454,-2271.48068283568,-1963.31025910177,-1593.17412270574,-3.02175902751415
2018-07-01 10:00:00,182,600,-19097.8522301854,-55944399.8665922,-5445080.4560387,-280129.076949644,-27372.0547943129,-2944.60108142494,-2271.39553941636,-1965.74853634411,-1593.19746690231,-3.02175902751415
2018-07-01 11:00:00,182,660,-19940.5758916266,-55944263.4806639,-5444875.76579965,-280397.980433873,-27548.5570365624,-2929.08076896972,-2271.34609750196,-1968.18732859396,-1593.22091039196,-3.02175902751415
2018-07-01 12:00:00,182,720,-20310.7753585903,-55944126.749003,-5444671.00631819,-280592.609350778,-27718.4673169292,-2914.07576096837,-2271.33074833582,-1970.62587767353,-1593.24445299565,-3.02175902751415
2018-07-01 13:00:00,182,780,-19858.4048134639,-55943989.6447547,-5444466.17730165,-280715.97997086,-27881.8359730153,-2899.57628167368,-2271.3491966898,-1973.06433762433,-1593.26809452323,-3.02175902751415
2018-07-01 14:00:00,182,840,-9.82049000151328,-20517.3593735323,-5444261.25596307,-280769.723737211,-28032.5671716311,-2866.02227757074,-2265.04393773549,-1971.06558397061,-1593.29178288684,-3.02175902751415
2018-07-01 15:00:00,182,900,-8.40801888213687,-24.729015105008,-5326760.92948175,-280753.118050065,-28166.4147347771,-2800.98678071011,-2248.30924799379,-1961.77368564636,-1593.31514295819,-3.02175902751415
2018-07-01 16:00:00,182,960,-7.30371927599741,-12.9434363029549,-23186.2370072881,-280666.140975293,-28289.7857915482,-2728.17949666657,-2228.85346581326,-1950.580683608,-1593.33802442751,-3.02175902751415
2018-07-01 17:00:00,182,1020,-6.9848580255312,-11.3408617902881,-46.353488995789,-280505.864920816,-28403.9293730876,-2654.65790905799,-2208.92520858934,-1939.05519014415,-1593.360374849,-3.02175902751415
2018-07-01 18:00:00,182,1080,-6.47448748968263,-9.28096199725241,-19.1523521177743,-273662.577550262,-28507.6595494838,-2577.74384215354,-2187.68126843749,-1926.61595084178,-1593.38214587254,-3.02175902751415
2018-07-01 19:00:00,182,1140,-6.27732200695899,-8.61917669976865,-15.0697189538346,-52459.1945614309,-28601.8020335991,-2500.79187271088,-2166.16486361858,-1913.98795694377,-1593.40332630161,-3.02175902751415
2018-07-01 20:00:00,182,1200,-16.4076129546276,-17.4713025660252,-22.9808422453261,-1033.69430486867,-28680.6950384086,-2424.75251853358,-2144.62474694368,-1901.34174231481,-1593.42388107184,-3.02175902751415
2018-07-01 21:00:00,182,1260,-23.9769848745776,-25.5534622428491,-33.1474054248669,-201.221409010996,-28709.7979606379,-2349.0689568962,-2122.89328101528,-1888.563284757,-1593.4438172545,-3.02175902751415
2018-07-01 22:00:00,182,1320,-31.0459671417545,-33.1355699875975,-41.9982371656083,-123.164863598521,-28583.7319583844,-2273.13268139002,-2100.76397585971,-1875.51163075378,-1593.46310421569,-3.02175902751415
2018-07-01 23:00:00,182,1380,-38.1409792941218,-40.510244305565,-50.0532408045375,-116.260838816454,-28273.6283284647,-2198.8065372808,-2078.75211405978,-1862.5387987214,-1593.48173095988,-3.02175902751415
2018-07-02,183,0,-52.2438604477889,-55.6630794124079,-67.0874628577088,-138.101685430667,-27327.4841754297,-2056.92224656936,-2035.5187946017,-1837.12184414039,-1593.51699262675,-3.02175902751415
2018-07-02 01:00:00,183,60,-60.2174055762495,-64.1514167399846,-76.9066553074867,-154.865383455049,-26698.2238821738,-1990.41490830803,-2014.53637784666,-1824.83546841101,-1593.53363164914,-3.02175902751415
2018-07-02 02:00:00,183,120,-69.8330970019516,-73.9476138596177,-88.1215241371513,-174.083627243485,-25886.5873046689,-1927.4200033243,-1994.10001174923,-1812.91015731805,-1593.5496197603,-3.02175902751415
2018-07-02 03:00:00,183,180,-80.0992142362299,-84.925430150043,-100.686374670458,-194.588850610515,-24786.5414058237,-1867.35122600732,-1974.03744245233,-1801.2277103288,-1593.56496445955,-3.02175902751415
2018-07-02 04:00:00,183,240,-92.0687789371437,-96.8414135424248,-114.122037885705,-214.697253452205,-23322.9091477997,-1809.25253438652,-1954.08152247688,-1789.60760231527,-1593.57966425483,-3.02175902751415
2018-07-02 05:00:00,183,300,-104.192972150213,-109.493602858397,-128.189281213787,-233.483964624177,-21524.6914288671,-1752.8543640126,-1934.14826571414,-1777.99292251054,-1593.59371114654,-3.02175902751415
2018-07-02 06:00:00,183,360,-116.630365396827,-122.818764824394,-142.896991602851,-250.983112742469,-19512.1861828019,-1698.40925277941,-1914.29272912828,-1766.41962419092,-1593.60709720002,-3.02175902751415
2018-07-02 07:00:00,183,420,-129.68180537671,-136.913890162854,-158.327239832485,-267.633156774852,-17434.0704325823,-1646.21216236232,-1894.58425307529,-1754.93278753028,-1593.61981689918,-3.02175902751415
2018-07-02 08:00:00,183,480,-142.182480607692,-151.79669035362,-174.560771413367,-283.930431590336,-15415.6681221479,-1596.46642317675,-1875.07256824143,-1743.56412959365,-1593.6318669177,-3.02175902751415
2018-07-02 09:00:00,183,540,-156.377649860203,-167.616798584004,-191.70424814931,-300.368377444963,-13538.1397804177,-1549.34751140525,-1855.80487023204,-1732.34341319896,-1593.64324579275,-3.02175902751415
2018-07-02 10:00:00,183,600,-170.59749456845,-184.541388949193,-209.852201530382,-317.287932524056,-11840.7210159445,-1504.94549561738,-1836.81145446715,-1721.28904589352,-1593.65395361081,-3.02175902751415
2018-07-02 11:00:00,183,660,-185.608440345291,-202.643375477831,-229.123179367365,-334.956216048026,-10332.6316034214,-1463.33312673857,-1818.12312419367,-1710.41962102008,-1593.6639917895,-3.02175902751415
2018-07-02 12:00:00,183,720,-200.262560478415,-221.986209596324,-249.616021019558,-353.538661903339,-9005.43322495046,-1424.54087704521,-1799.76479421674,-1699.74974742386,-1593.6733630194,-3.02175902751415
2018-07-02 13:00:00,183,780,-221.491139577967,-242.980353955402,-271.514782219509,-373.251127531077,-7842.42569010066,-1388.63860497043,-1781.77630325938,-1689.3036663902,-1593.68207153491,-3.02175902751415
2018-07-02 14:00:00,183,840,-17.5543968161087,-23.5781154471898,-115.411931623494,-386.720582861862,-6816.31952794485,-1352.27537126286,-1763.31677501618,-1678.5330889108,-1593.69010874086,-3.02175902751415
2018-07-02 15:00:00,183,900,-33.3755124301744,-38.6885362936066,-69.8496492415985,-367.511435722815,-5896.05484230936,-1315.29216305186,-1744.31602300858,-1667.3931521876,-1593.69743433647,-3.02175902751415
2018-07-02 16:00:00,183,960,-45.3066713235978,-50.97386299428,-76.7433146073905,-316.318443325998,-5062.21620864812,-1279.69597952451,-1725.28191165416,-1656.21361855843,-1593.70402885132,-3.02175902751415
2018-07-02 17:00:00,183,1020,-55.9471507641829,-62.4283637595707,-86.9117182100831,-274.369677848278,-4298.37739636452,-1245.91542632002,-1706.33652751038,-1645.07266600507,-1593.70988226404,-3.02175902751415
2018-07-02 18:00:00,183,1080,-67.4022830259554,-74.0411946999471,-98.1806283249673,-252.49612767715,-3599.00070650631,-1214.22710337329,-1687.57142782792,-1634.02818876767,-1593.71498858698,-3.02175902751415
2018-07-02 19:00:00,183,1140,-77.8383330181804,-85.9436089254658,-110.461988154437,-245.207352382674,-2969.98377867535,-1184.68760143548,-1669.02755433354,-1623.10513856329,-1593.7193445167,-3.02175902751415
