"dates","DOY","TIME","WC0cm","WC2.5cm","WC5cm","WC10cm","WC15cm","WC20cm","WC30cm","WC50cm","WC100cm","WC200cm"
2020-07-01,183,0,0.182990998549254,0.119993079633919,0.14978921061024,0.200177360716477,0.25203822242947,0.298944473671736,0.299820136072351,0.299917232896781,0.299997314958541,0.525206766010802
2020-07-01 01:00:00,183,60,0.188498588861599,0.119986870889646,0.149587586192903,0.200364447643321,0.254066695947681,0.297960260647646,0.299637176204821,0.299832268367282,0.299994606971511,0.525206766010802
2020-07-01 02:00:00,183,120,0.193689321061664,0.119981562510503,0.149393647807405,0.200561860587718,0.256062085585995,0.297045451796668,0.299452368456935,0.299745915003719,0.299991875734134,0.525206766010802
2020-07-01 03:00:00,183,180,0.197363098418902,0.119977234988517,0.149207459781963,0.200769756026824,0.25800188805563,0.296198372062826,0.299266945509819,0.299658963366962,0.299989121151334,0.525206766010802
2020-07-01 04:00:00,183,240,0.197649873459714,0.119974035292192,0.149029083228089,0.200988559216788,0.259867743395294,0.295418574427513,0.299082494616652,0.299572424294495,0.299986343363039,0.525206766010802
2020-07-01 05:00:00,183,300,0.197294040653805,0.119972346649201,0.14885704773856,0.201219131530243,0.261644134236055,0.294704336163039,0.298900150806417,0.299487015749743,0.299983542724053,0.525206766010802
2020-07-01 06:00:00,183,360,0.197999590686945,0.119971997945694,0.148695197172628,0.201461893889507,0.26332394541845,0.294056159552973,0.298721772458603,0.29940391549326,0.299980719830796,0.525206766010802
2020-07-01 07:00:00,183,420,0.204597528944558,0.119973240278351,0.148542965043813,0.201718329580717,0.264897445427631,0.293469164063994,0.29854738192952,0.299323126044169,0.299977875406238,0.525206766010802
2020-07-01 08:00:00,183,480,0.2117167182916,0.119976146733311,0.148400331682146,0.201989748091842,0.266359415495024,0.292938701230108,0.298376982267639,0.299244636051882,0.299975010162773,0.525206766010802
2020-07-01 09:00:00,183,540,0.216652720617033,0.11998072619053,0.148266982907408,0.202277288528889,0.267707891175891,0.292459908428942,0.298210408767034,0.299168325785964,0.299972124785908,0.525206766010802
2020-07-01 10:00:00,183,600,0.220886952780183,0.119986999752193,0.14814234881246,0.202581910175755,0.268943223736724,0.292027647922896,0.298047302520106,0.299093950372705,0.299969219905414,0.525206766010802
2020-07-01 11:00:00,183,660,0.223477634385092,0.119994997802382,0.148025894816786,0.20290457527549,0.270070881362332,0.291638450965016,0.29788777540356,0.299021566445007,0.29996629612354,0.525206766010802
2020-07-01 12:00:00,183,720,0.22588847445942,0.120004767007806,0.147916983919181,0.203246195930061,0.271093294308514,0.291286603394678,0.297731080060992,0.298950679323756,0.299963353974242,0.525206766010802
2020-07-01 13:00:00,183,780,0.227962306716747,0.120016363919302,0.147815204598712,0.203607814463845,0.272016312514328,0.290967827249557,0.297576849437671,0.298881037996824,0.299960393895718,0.525206766010802
2020-07-01 14:00:00,183,840,0.5703125,0.399273998222423,0.147737510917801,0.203994080405851,0.273093581580885,0.290795547438447,0.297465048285591,0.298838324655086,0.299957418010435,0.525206766010802
2020-07-01 15:00:00,183,900,0.417274311646166,0.38829886219245,0.150735020573289,0.20440973941632,0.274462037884392,0.29083798448919,0.297422116558765,0.298839568257168,0.299954438471458,0.525206766010802
2020-07-01 16:00:00,183,960,0.391389997728189,0.373356405292282,0.16476541797499,0.204855542090125,0.275905286338686,0.290991708411395,0.297414600946399,0.298863284646432,0.299951462339885,0.525206766010802
2020-07-01 17:00:00,183,1020,0.378558140599439,0.364472637248443,0.179615214108344,0.205332467756997,0.277192754223911,0.291148528248414,0.297406435186673,0.298886274475918,0.299948491710695,0.525206766010802
2020-07-01 18:00:00,183,1080,0.369646898750086,0.35663765676577,0.191825933584962,0.205844082390338,0.278312304510764,0.291295357206809,0.297393471720307,0.2989058634734,0.299945525977957,0.525206766010802
2020-07-01 19:00:00,183,1140,0.362267055219495,0.349700416368376,0.201870557838689,0.20639415614957,0.279265442052663,0.291424333924419,0.29737329622693,0.298920490625584,0.299942564088159,0.525206766010802
2020-07-01 20:00:00,183,1200,0.356101447202409,0.343500323123348,0.210435540476817,0.206987215577188,0.280058876348391,0.291529395103089,0.297344068729811,0.298928962944427,0.299939604654915,0.525206766010802
2020-07-01 21:00:00,183,1260,0.350586334628701,0.33788626640024,0.218055566300465,0.207628716561064,0.280697947699557,0.291603732144351,0.297303654029474,0.298929895218372,0.29993664597166,0.525206766010802
2020-07-01 22:00:00,183,1320,0.345902869725245,0.332744890122103,0.225129371836657,0.208325349864782,0.281192065554713,0.291642159824402,0.297250411541175,0.298922218646029,0.299933686033205,0.525206766010802
2020-07-01 23:00:00,183,1380,0.340945142135662,0.327955223125472,0.231948117580425,0.209084930489885,0.281546885311109,0.29163801951839,0.297182137095807,0.298904498152588,0.29993072252254,0.525206766010802
2020-07-02,184,0,0.33148358476488,0.319119748192812,0.245418296585534,0.210833813533787,0.281912399591369,0.291497852318476,0.296998900632546,0.298837831218136,0.299924774623165,0.525206766010802
2020-07-02 01:00:00,184,60,0.326952211233896,0.315073283747155,0.251972103092351,0.211848325834216,0.281983627001798,0.291371979356688,0.296887157338586,0.298790925709142,0.299921785409479,0.525206766010802
2020-07-02 02:00:00,184,120,0.321508384979477,0.311315061908019,0.258061908379574,0.212974397958212,0.282032538826462,0.291223773656006,0.296766873781945,0.298738098767097,0.299918783562116,0.525206766010802
2020-07-02 03:00:00,184,180,0.316354535187712,0.307882389798047,0.263395101654645,0.214225996106241,0.282100089800652,0.291068504706036,0.296643164739988,0.29868264333274,0.299915768143648,0.525206766010802
