"dates","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
2020-07-01,183,0,19.3356553717381,18.9545657133374,19.2678829726781,19.4538722065848,19.7823431588352,20.0366569723775,20.3399725308742,20.4999003414088,20.513090178501,20.4236033952704
2020-07-01 01:00:00,183,60,19.3608826460013,19.2750413634053,19.3190763432615,19.5237054742281,19.7785618383541,20.0117783002201,20.3204004010501,20.4967458158298,20.5128799621743,20.4236033952704
2020-07-01 02:00:00,183,120,19.8001313353031,19.4907436955856,19.4571568907692,19.5840105943868,19.7890579688154,19.9950353101464,20.3014335870381,20.493304051586,20.512659510546,20.4236033952704
2020-07-01 03:00:00,183,180,20.0254040207366,19.7540141162138,19.5796884059208,19.6590559446555,19.808922524589,19.9861395619658,20.2836475388434,20.4896000188969,20.5124279329308,20.4236033952704
2020-07-01 04:00:00,183,240,20.1713140636733,19.9757243455852,19.6854469334584,19.7378256022494,19.8359523146744,19.9847186467096,20.2675032618306,20.4856679478693,20.5121844470491,20.4236033952704
2020-07-01 05:00:00,183,300,20.1771899371978,19.8084581653188,19.8856539090614,19.7994358363039,19.8706676307023,19.9893576342754,20.2533713786157,20.4815487872284,20.5119284044616,20.4236033952704
2020-07-01 06:00:00,183,360,19.5667665292043,19.9724682886496,19.7837737326028,19.8658994636764,19.9012272238169,19.99928816755,20.2414371279724,20.477288223867,20.5116593084669,20.4236033952704
2020-07-01 07:00:00,183,420,18.9892998823946,19.8032161694236,19.6881058505078,19.8795659641747,19.9261191760097,20.0110418730969,20.2317310879867,20.4729326145103,20.5113768281745,20.4236033952704
2020-07-01 08:00:00,183,480,18.5253395858946,19.5361259359253,19.5551513124955,19.8517857821726,19.935686470552,20.02116888742,20.2239820614386,20.4685248462171,20.511080783983,20.4236033952704
2020-07-01 09:00:00,183,540,18.2230437188235,19.2994098072632,19.4073439686304,19.7956373710427,19.9283880082596,20.0261961318413,20.2176556076523,20.464098889477,20.5107711325317,20.4236033952704
