QSOL,QIRIN,QGEN,QEVAP,QIROUT,QCONV,QCOND,ENB,NTRY,SUCCESS,dates,site
0,64.55099241521995,2.87825586391794,0.5149551480428641,66.81938271603573,0.10106250218169377,-0,-0.0061520871224409746,1,1,2019-01-01T00:00:00Z,AU10A
0,56.761921353489626,3.0320794271027673,0.35242936628628363,64.098151345571,-4.658850196011476,-0,0.0022702647465369097,1,1,2019-01-01T01:00:00Z,AU10A
0,55.50954865740198,2.6179389448592927,0.18716513792315925,66.82064073956735,-8.888938199165988,-0,0.008619923936731944,1,1,2019-01-01T02:00:00Z,AU10A
0,55.16319973324528,2.5459363927792413,0.1421728037776661,66.82379993968699,-9.266587478572646,-0,0.009750861132579391,1,1,2019-01-01T03:00:00Z,AU10A
0,55.07509813470495,2.329928736539088,0.096369754650205,66.83718977241276,-9.518928035904844,-0,-0.009604619914138635,1,1,2019-01-01T04:00:00Z,AU10A
0,56.499304047816125,3.313963614966453,0.22787088191499258,66.76557760300847,-7.188590543449875,-0,0.008409721309102558,1,1,2019-01-01T05:00:00Z,AU10A
0,55.42624236086995,2.7922230125348397,0.14534699220591676,63.05316808301376,-4.976550493468432,-0,-0.0034992083464620016,1,1,2019-01-01T06:00:00Z,AU10A
0,57.368241236285954,2.80979266363017,0.21362361940419522,63.016100600093395,-3.0477608023102203,-0,-0.003929517271239025,1,1,2019-01-01T07:00:00Z,AU10A
0,59.113717553065044,2.8156280630279644,0.2656320813051025,62.917082916585656,-1.2635754253477436,-0,0.010206043549913169,1,1,2019-01-01T08:00:00Z,AU10A
0,60.719091804391454,2.7807167005561784,0.27901273667603993,62.62414116528814,0.5851201785468696,-0,0.011534424436545176,1,1,2019-01-01T09:00:00Z,AU10A
0,60.25145598289593,2.680138481987848,0.2692150208632058,61.48991137594486,1.1722467697611223,-0,2.212983145959413e-4,2,1,2019-01-01T10:00:00Z,AU10A
0,60.31388548606371,2.73105197482639,0.2754215979024396,61.46828312736367,1.2927732956229612,-0,0.008459440001031382,1,1,2019-01-01T11:00:00Z,AU10A
0,60.29568952220011,2.680138481987848,0.2648725599343214,61.48679156498294,1.2254217368387048,-0,-0.0012578575680119997,1,1,2019-01-01T12:00:00Z,AU10A
0,60.21166407057029,2.748023139105904,0.25609429948387935,61.45028723120254,1.2494430013872608,-0,0.0038626776025081355,1,1,2019-01-01T13:00:00Z,AU10A
0,60.24488642794506,2.6971096462673625,0.2523574225541866,61.47743491861328,1.2065523818377764,-0,0.005651351207194288,1,1,2019-01-01T14:00:00Z,AU10A
0,60.864930701773304,2.698780319358255,0.2593034823554133,62.1185164087756,1.185989168484054,-0,-9.803848352163413e-5,1,1,2019-01-01T15:00:00Z,AU10A
0,60.89277695840537,2.715869527420436,0.2571637748968294,62.114693475265554,1.2301227650114934,-0,0.0066664706519303785,1,1,2019-01-01T16:00:00Z,AU10A
0,61.016536683402876,2.7196371329335896,0.2664128625340975,62.203325953356554,1.2582702223544455,-0,0.008164778091369396,1,1,2019-01-01T17:00:00Z,AU10A
0,60.994246513310884,2.7196371329335896,0.2677461483904603,62.198900186971315,1.2545021273146624,-0,-0.007264816431954646,1,1,2019-01-01T18:00:00Z,AU10A
0,60.83454764796586,2.6950416074959698,0.2609642016204404,62.02340021210583,1.24208904675852,-0,0.003135794977040529,1,1,2019-01-01T19:00:00Z,AU10A
0,60.80775274490753,2.6950416074959698,0.25916003389807846,62.02276305938679,1.2183794386132112,-0,0.002491820505416076,1,1,2019-01-01T20:00:00Z,AU10A
0,60.69984925629885,2.748155572256966,0.25400886300687253,62.409987649800314,0.7824580957365055,-0,0.0015502200121289,1,1,2019-01-01T21:00:00Z,AU10A
0,60.40527213986404,2.765258157311232,0.2453821177196258,62.825291978972615,0.09171058824566092,-0,0.008145612237269173,2,1,2019-01-01T22:00:00Z,AU10A
0,59.693075604204395,2.7844920488441627,0.24020837159001776,62.939016062373426,-0.6943100854189636,-0,-0.0073466954959204855,1,1,2019-01-01T23:00:00Z,AU10A
0,59.53106344167329,2.7922230125348397,0.25416455911637803,62.982906341380584,-0.9218619493095098,-0,0.008077503020756271,1,1,2019-01-02T00:00:00Z,AU10A
0,58.750480485682665,2.80979266363017,0.26720816186605667,63.01357082893016,-1.7235994434462523,-0,0.0030936019628420297,1,1,2019-01-02T01:00:00Z,AU10A
0,58.72568761790748,2.7922230125348397,0.2795358991106115,63.016345351706974,-1.7851705102678037,-0,0.007199889892572475,1,1,2019-01-02T02:00:00Z,AU10A
0,58.27553534368016,2.7922230125348397,0.27974305940338934,63.02587786206993,-2.241408030346196,-0,0.0035454650879498395,1,1,2019-01-02T03:00:00Z,AU10A
0,58.51708908943792,2.7922230125348397,0.294528712771559,63.024035264605956,-2.0173097188951763,-0,0.008057843490409056,1,1,2019-01-02T04:00:00Z,AU10A
0,59.44175497084362,2.7746533614395092,0.3004072408181524,62.99659195730031,-1.0854808096954653,-0,0.004889943860077572,1,1,2019-01-02T05:00:00Z,AU10A
0,59.41423080089725,2.80979266363017,0.2951039775506602,62.99196781825449,-1.0626888058475177,-0,-3.5952543014028393e-4,1,1,2019-01-02T06:00:00Z,AU10A
0,60.05401570586494,2.7690942774832754,0.26947346129057026,62.859467859533254,-0.31745472321675305,-0,0.011623385741151182,1,1,2019-01-02T07:00:00Z,AU10A
0,60.545083367110635,2.7499667461262787,0.27343305247531924,62.6719682870627,0.35292243277133195,-0,-0.003273659072444257,1,1,2019-01-02T08:00:00Z,AU10A
