QSOL,QIRIN,QGEN,QEVAP,QIROUT,QCONV,QCOND,ENB,NTRY,SUCCESS,dates,site,species
0,37.66616983837872,2.797350048948819,0.5134337848107183,39.46980689364945,0.47214983583313164,-0,0.008129373034304166,2,1,2019-01-01T00:00:00Z,CU6,cinereus
0,30.084180291317264,2.735028129900778,0.4177311081436681,30.539097554145165,1.8563702854385986,-0,0.0060094734906348535,1,1,2019-01-01T01:00:00Z,CU6,cinereus
0,29.887203310733977,2.75011580973084,0.43012211634273073,30.286031977285646,1.9310948903014897,-0,-0.00992986346490321,1,1,2019-01-01T02:00:00Z,CU6,cinereus
0,29.41981476019376,2.745659120755101,0.4352194660780876,29.776219509202917,1.9538000485865836,-0,2.3485708126891325e-4,1,1,2019-01-01T03:00:00Z,CU6,cinereus
0,30.031392349635766,2.75011580973084,0.4603053101634984,30.28788973776316,2.0252986064744682,-0,0.008014504965438984,1,1,2019-01-01T04:00:00Z,CU6,cinereus
0,30.061597438630507,2.75011580973084,0.46489079138412825,30.287197359338684,2.0656496239164097,-0,-0.006024526277916831,1,1,2019-01-01T05:00:00Z,CU6,cinereus
0,29.539968731705144,2.7802124301160074,0.4521821699540219,29.775139436560682,2.0854111956954218,-0,0.0074483596110503925,1,1,2019-01-01T06:00:00Z,CU6,cinereus
0,28.106968165438744,2.7517557158439385,0.4235904972208072,28.445537455595048,1.993459988490791,-0,-0.003864060023914373,1,1,2019-01-01T07:00:00Z,CU6,cinereus
0,27.771532823067147,2.7151395427617726,0.39718153452469984,28.17088590493849,1.9164296130245688,-0,0.002175313341176377,1,1,2019-01-01T08:00:00Z,CU6,cinereus
0,27.709235913919485,2.7667179364138472,0.3895813755412706,28.167405902730245,1.911991182985881,-0,0.00697538907591122,1,1,2019-01-01T09:00:00Z,CU6,cinereus
0,26.533662031543273,2.706346656519869,0.3709858664578186,27.044917343256447,1.8288768348956528,-0,-0.004771356546767969,1,1,2019-01-01T10:00:00Z,CU6,cinereus
0,26.519830299960226,2.7234837761179005,0.3749936696354579,27.04424334201399,1.8217735563399153,-0,0.0023035080887772175,1,1,2019-01-01T11:00:00Z,CU6,cinereus
0,26.505793242053358,2.7234837761179005,0.36939356237483534,27.043535710276494,1.819065750872213,-0,-0.0027180053523157,1,1,2019-01-01T12:00:00Z,CU6,cinereus
0,25.57738319937495,2.6997706839075306,0.3372226459786948,26.19367476275515,1.748406621032675,-0,-0.002150146484008797,1,1,2019-01-01T13:00:00Z,CU6,cinereus
0,25.812034547421806,2.736179593684432,0.33303938836980573,26.4725609138352,1.7442354711729293,-0,-0.001621632271680884,2,1,2019-01-01T14:00:00Z,CU6,cinereus
0,26.093132294542528,2.738399344303728,0.3310635449634349,26.756391612883178,1.7448990563282543,-0,-8.225753285913129e-4,1,1,2019-01-01T15:00:00Z,CU6,cinereus
0,26.104371715432237,2.7041528878574095,0.32104934628284865,26.75866685325621,1.7333906470395384,-0,-0.00458224328888468,1,1,2019-01-01T16:00:00Z,CU6,cinereus
0,26.454338220959713,2.7234837761179005,0.3316219686804618,27.042044654168684,1.8039139248811142,-0,2.4144934734460222e-4,1,1,2019-01-01T17:00:00Z,CU6,cinereus
0,26.17489932429135,2.7041528878574095,0.3275478973628719,26.759096039223962,1.7959871050903953,-0,-0.0035788295284691074,1,1,2019-01-01T18:00:00Z,CU6,cinereus
0,26.182083201188533,2.7212761160805687,0.33307146510893093,26.759024132753467,1.801954869131597,-0,0.009308850275109748,2,1,2019-01-01T19:00:00Z,CU6,cinereus
0,26.44182323562935,2.7234837761179005,0.33735530608202824,27.042641866004814,1.7817885057800225,-0,0.0035213338803794514,1,1,2019-01-01T20:00:00Z,CU6,cinereus
0,26.49772728041213,2.7234837761179005,0.3418857133440434,27.04173419276104,1.8466680330112832,-0,-0.009076882586294133,1,1,2019-01-01T21:00:00Z,CU6,cinereus
0,28.262256510326324,2.7539881027342172,0.3794662176646578,28.71850839846643,1.9150595727087663,-0,0.0032104242206378864,1,1,2019-01-01T22:00:00Z,CU6,cinereus
0,28.865315134904073,2.741209654048533,0.38503489651380157,29.25424401051552,1.9692717462971778,-0,-0.002025864373889519,1,1,2019-01-01T23:00:00Z,CU6,cinereus
0,29.159768301367905,2.726170835151884,0.39680513917377735,29.517241827272358,1.968574034579428,-0,0.0033181354942111163,1,1,2019-01-02T00:00:00Z,CU6,cinereus
0,29.9974116666713,2.7674205074687395,0.42569767709687817,30.285516207739633,2.0520780317934753,-0,0.0015402575101366445,1,1,2019-01-02T01:00:00Z,CU6,cinereus
0,30.311317598085715,2.735028129900778,0.44043702666319995,30.53912888225954,2.0694987599358736,-0,-0.0027189408721910446,1,1,2019-01-02T02:00:00Z,CU6,cinereus
0,30.304933240931085,2.7523468662323465,0.4448422539454434,30.537989954070014,2.0826917973146344,-0,-0.008243898166622188,1,1,2019-01-02T03:00:00Z,CU6,cinereus
0,30.063752392010187,2.75011580973084,0.44278599941470337,30.28684562033692,2.084576227404219,-0,-3.3964541483078037e-4,1,1,2019-01-02T04:00:00Z,CU6,cinereus
0,28.976641164501466,2.723960996980464,0.41613329885023,29.25636637228514,2.026732550194077,-0,0.0013699401524966959,1,1,2019-01-02T05:00:00Z,CU6,cinereus
0,28.661367469308157,2.7217529501071835,0.4051413892698811,28.99224171466264,1.9877413598265157,-0,-0.002004044343720146,1,1,2019-01-02T06:00:00Z,CU6,cinereus
0,28.029060651072225,2.7345489701460206,0.401601159936027,28.44664128513115,1.9073921709641535,-0,0.007975005186882989,1,1,2019-01-02T07:00:00Z,CU6,cinereus
