QSOL,QIRIN,QGEN,QEVAP,QIROUT,QCONV,QCOND,ENB,NTRY,SUCCESS,dates,site,species
0,41.46311491974066,2.866740509872063,0.5231656433703378,44.258651598336634,-0.4522952424433784,-0,3.334303490687418e-4,1,1,2019-01-01T00:00:00Z,AU6,archeri
0,33.751389941035164,2.7523468662323465,0.41290916698979074,35.22563506103408,0.8583033718446753,-0,0.006889207398968811,1,1,2019-01-01T01:00:00Z,AU6,archeri
0,33.10536790950002,2.7523468662323465,0.4360122095262417,34.44886800498304,0.9683582292464654,-0,0.0044763319766270016,1,1,2019-01-01T02:00:00Z,AU6,archeri
0,32.557294804337225,2.769665602563915,0.4299044429927682,33.91496592068812,0.9803425349037684,-0,0.0017475083165305882,1,1,2019-01-01T03:00:00Z,AU6,archeri
0,32.86178762774284,2.769665602563915,0.430747045707126,34.1826942256757,1.0156064014486126,-0,0.0024055574753520936,1,1,2019-01-01T04:00:00Z,AU6,archeri
0,32.31057692713276,2.7674205074687395,0.41977144864753224,33.63547083338199,1.0224785967948016,-0,2.765557771327032e-4,1,1,2019-01-01T05:00:00Z,AU6,archeri
0,31.401385393561757,2.743433485350118,0.38972456907967834,32.780425422233016,0.986013280308313,-0,-0.011344392709076612,1,1,2019-01-01T06:00:00Z,AU6,archeri
0,30.217295426764743,2.7345489701460206,0.37430353458793153,31.593345642053496,0.9775824941886635,-0,0.0066127260806641,1,1,2019-01-01T07:00:00Z,AU6,archeri
0,30.2285654879596,2.7345489701460206,0.37805989920300026,31.592990983922157,0.9902827756820509,-0,0.0017807992983658316,1,1,2019-01-01T08:00:00Z,AU6,archeri
0,30.169631893024505,2.7517557158439385,0.36986877361119286,31.59154211545861,0.9566196287645827,-0,0.0033570910341111926,1,1,2019-01-01T09:00:00Z,AU6,archeri
0,28.833752942849287,2.70854220489714,0.3366566621364901,30.35333334323687,0.8529089960223913,-0,-6.038536493346847e-4,1,1,2019-01-01T10:00:00Z,AU6,archeri
0,28.84877133235023,2.7256932271395478,0.33671947211599795,30.35239510310418,0.8793117190093955,-0,0.006038265260180253,1,1,2019-01-01T11:00:00Z,AU6,archeri
0,29.131507476094498,2.7450694067638937,0.33433105710233546,30.66339280273593,0.8759957610314497,-0,0.002857261988625126,1,1,2019-01-01T12:00:00Z,AU6,archeri
0,28.437571788295898,2.7234837761179005,0.3082910746983439,30.037164617402937,0.8086842794720636,-0,0.006915592840434304,1,1,2019-01-01T13:00:00Z,AU6,archeri
0,28.786790451540284,2.7256932271395478,0.3133650146123398,30.351012828306736,0.8454558180227305,-0,0.002650017738030641,1,1,2019-01-01T14:00:00Z,AU6,archeri
0,28.846027401236295,2.7256932271395478,0.31248739434144157,30.35151147556116,0.8988088151732608,-0,0.008912943300010134,1,1,2019-01-01T15:00:00Z,AU6,archeri
0,28.85237373540988,2.7256932271395478,0.3081503931191477,30.3505773967483,0.918656100812828,-0,6.830718691572812e-4,1,1,2019-01-01T16:00:00Z,AU6,archeri
0,29.218551373213188,2.7450694067638937,0.3216297654920259,30.662388401261286,0.9817531017573378,-0,-0.0021504885335841273,1,1,2019-01-01T17:00:00Z,AU6,archeri
0,28.90297582366277,2.7256932271395478,0.3195224385701898,30.351976830653314,0.9459905676786782,-0,0.011179213900163187,1,1,2019-01-01T18:00:00Z,AU6,archeri
0,28.868377490066873,2.7428442493819554,0.31713958933301367,30.349767657276175,0.9405123265006914,-0,0.0038021663389256055,1,1,2019-01-01T19:00:00Z,AU6,archeri
0,28.853924678089676,2.7256932271395478,0.3163190313677779,30.350393949460408,0.9180662536086974,-0,-0.005161329207680421,1,1,2019-01-01T20:00:00Z,AU6,archeri
0,28.86454882863044,2.7256932271395478,0.3193511911418515,30.351077703320637,0.9194847633293947,-0,3.2839797805062076e-4,1,1,2019-01-01T21:00:00Z,AU6,archeri
0,30.85804310662065,2.773456975949453,0.3672316675613533,32.19568293628895,1.060742927137993,-0,0.007842551581857649,1,1,2019-01-01T22:00:00Z,AU6,archeri
0,30.778689992832902,2.73898762538794,0.34967597097972725,32.19753613882885,0.9605890904335301,-0,0.009876417978722962,1,1,2019-01-01T23:00:00Z,AU6,archeri
0,31.38114487515935,2.777958785746586,0.3762249032792342,32.7790465166409,0.9956145928192399,-0,0.008217648166593428,1,1,2019-01-02T00:00:00Z,AU6,archeri
0,32.090169976529374,2.747886561727081,0.4102945946839959,33.35431672337872,1.068589455600228,-0,0.004855764593562739,1,1,2019-01-02T01:00:00Z,AU6,archeri
0,32.12780947392983,2.747886561727081,0.42428324757160224,33.35471863424108,1.0921590576788636,-0,0.004535096165404706,1,1,2019-01-02T02:00:00Z,AU6,archeri
0,32.15183175625843,2.730595891203145,0.4298931237801652,33.355521043160024,1.09933239089388,-0,-0.0023189103725389515,1,1,2019-01-02T03:00:00Z,AU6,archeri
0,32.189856367946874,2.747886561727081,0.43854252780335756,33.355324518005474,1.1370023378168685,-0,0.00687354604820456,1,1,2019-01-02T04:00:00Z,AU6,archeri
0,31.917190282105807,2.7802124301160074,0.43424621493610444,33.06834108205283,1.1864043526998655,-0,0.008411062533056235,1,1,2019-01-02T05:00:00Z,AU6,archeri
0,31.60041647055061,2.743433485350118,0.4206433787493191,32.78184263046773,1.1430804984610634,-0,-0.0017165517774029304,1,1,2019-01-02T06:00:00Z,AU6,archeri
0,30.589775980265024,2.7712088075613193,0.39335656685183495,31.895508813285254,1.0649628481598994,-0,0.007156559529309714,1,1,2019-01-02T07:00:00Z,AU6,archeri
