"dates","DOY","TIME","PT0cm","PT2.5cm","PT5cm","PT10cm","PT15cm","PT20cm","PT30cm","PT50cm","PT100cm","PT200cm"
2020-07-01,183,0,-69596.3811631862,-710213.394986788,-105697.528675283,-13123.0001510025,-2734.91851805989,-662.779667137617,-626.244314211163,-581.645381231277,-550.199527677271,-2.30080508341997
2020-07-01 01:00:00,183,60,-39070.3639227499,-710342.243567371,-107416.059709466,-13070.6820842774,-2598.52812662086,-672.542259276095,-628.10982187424,-583.192120258991,-550.204526954404,-2.30080508341997
2020-07-01 02:00:00,183,120,-22214.9520059323,-710291.986990426,-109134.443242512,-13015.8959116315,-2467.01609090555,-682.141204408188,-630.07244310871,-584.800234411147,-550.209760895016,-2.30080508341997
2020-07-01 03:00:00,183,180,-19397.656030442,-710029.759161166,-110840.521865951,-12958.8682456508,-2341.00470783798,-691.600030072098,-632.138064052772,-586.47364319811,-550.215237112509,-2.30080508341997
2020-07-01 04:00:00,183,240,-19506.5118126016,-709529.62450435,-112528.500952108,-12899.5481639837,-2220.8840981891,-700.85083454505,-634.285318435822,-588.198864519358,-550.220962227995,-2.30080508341997
2020-07-01 05:00:00,183,300,-16621.0231112088,-708768.298078997,-114182.096750267,-12837.7457476339,-2106.91776808327,-709.796936925904,-636.483838267496,-589.956653250076,-550.226940294054,-2.30080508341997
2020-07-01 06:00:00,183,360,-15367.0109805402,-707739.620420058,-115780.032720098,-12772.9557778411,-1999.37328808018,-718.373885560737,-638.712238974378,-591.733485820389,-550.233172941023,-2.30080508341997
2020-07-01 07:00:00,183,420,-7334.13004408663,-706448.799749376,-117307.804001292,-12704.6334775611,-1898.59990981209,-726.581264681318,-640.967731759677,-593.527710653055,-550.239660744568,-2.30080508341997
2020-07-01 08:00:00,183,480,-5354.52951228982,-704916.669681774,-118748.296422398,-12632.1304293857,-1804.73596653583,-734.377834935376,-643.23531325953,-595.329871731128,-550.246403405262,-2.30080508341997
2020-07-01 09:00:00,183,540,-4492.00213748672,-703156.259630976,-120102.766467465,-12554.9564931147,-1717.9257672247,-741.766013005119,-645.51243606095,-597.13846213456,-550.253399892419,-2.30080508341997
