"dates","DOY","TIME","PT0cm","PT2.5cm","PT5cm","PT10cm","PT15cm","PT20cm","PT30cm","PT50cm","PT100cm","PT200cm"
2020-07-01,183,0,-95810.0235617851,-418095.774215947,-84167.6963511853,-12069.883634287,-2363.14038994019,-568.48232474002,-633.491663081315,-731.824734889824,-553.470666117492,-2.58892713970923
2020-07-01 01:00:00,183,60,-51246.7825134964,-421929.542402267,-85885.7212630959,-11964.1934841222,-2229.3050497678,-588.132498675532,-637.125983863032,-733.358600967997,-553.491815580417,-2.58892713970923
2020-07-01 02:00:00,183,120,-38906.094181123,-425180.348453172,-87583.5925528185,-11854.1773669873,-2104.74928569609,-607.238762671562,-640.863391250212,-734.971048835659,-553.513206418134,-2.58892713970923
2020-07-01 03:00:00,183,180,-37042.7473405833,-427793.354148482,-89246.0124752168,-11739.9444254044,-1989.8724136422,-625.757817945374,-644.692025332739,-736.653585766455,-553.534845508298,-2.58892713970923
2020-07-01 04:00:00,183,240,-37769.5571151769,-429781.490014477,-90867.0880131234,-11621.3691629117,-1884.78175179985,-643.618139118324,-648.589575395422,-738.3906988912,-553.556738076413,-2.58892713970923
2020-07-01 05:00:00,183,300,-35142.9930858223,-431138.019150407,-92437.8960867964,-11498.2572255152,-1788.94221009441,-660.6109981825,-652.488121432226,-740.135773611166,-553.578885286325,-2.58892713970923
2020-07-01 06:00:00,183,360,-34543.506845924,-431879.886548094,-93945.0492067284,-11370.3124057161,-1701.98164225913,-676.646461503488,-656.355793175485,-741.86724585,-553.601284316227,-2.58892713970923
2020-07-01 07:00:00,183,420,-27906.5381910348,-432041.135878545,-95381.8001746007,-11237.1751187882,-1623.11418292061,-691.561347862119,-660.135356197351,-743.546376815402,-553.623928687276,-2.58892713970923
2020-07-01 08:00:00,183,480,-24227.1084496415,-431664.941453099,-96735.6367124497,-11098.5111795142,-1551.9665319329,-705.368574731228,-663.822055437586,-745.170459014831,-553.646809787552,-2.58892713970923
2020-07-01 09:00:00,183,540,-21951.4773228189,-430821.613863569,-98009.9946684693,-10954.1090512678,-1488.31049419135,-718.16841543238,-667.436282669502,-746.753907091,-553.669919948324,-2.58892713970923
2020-07-01 10:00:00,183,600,-20344.4296889397,-429551.861103626,-99212.1705679396,-10804.0637648157,-1431.97066814483,-730.113940636754,-671.013511230791,-748.321297065682,-553.693253979025,-2.58892713970923
2020-07-01 11:00:00,183,660,-19537.4583495219,-427880.278958249,-100346.596869597,-10648.4198364342,-1382.07986828387,-741.167321751021,-674.529965182822,-749.856847917301,-553.716807064522,-2.58892713970923
2020-07-01 12:00:00,183,720,-18583.0929981393,-425820.489983797,-101418.679885582,-10487.3051311882,-1338.08471584552,-751.392836035752,-677.991708352487,-751.365062815149,-553.740573934691,-2.58892713970923
2020-07-01 13:00:00,183,780,-18020.3543891791,-423379.040283942,-102430.081547885,-10320.8201285525,-1299.40401386434,-760.847999589716,-681.402293687115,-752.848706416638,-553.764549820479,-2.58892713970923
2020-07-01 14:00:00,183,840,-6.67601513568117,-30.2381619269146,-103047.19603337,-10145.0941857569,-1247.29538962798,-763.874055227917,-683.037847116068,-753.143041712873,-553.788686753741,-2.58892713970923
2020-07-01 15:00:00,183,900,-5.54851464936428,-9.95658472505177,-4725.9261152749,-9957.08737608917,-1174.41002169157,-757.543278653218,-681.904611458075,-751.575675782432,-553.812757865849,-2.58892713970923
2020-07-01 16:00:00,183,960,-19.8528221255524,-24.1840130591197,-137.134177219186,-9753.42198313866,-1103.57318323445,-748.656398288838,-679.970641144752,-749.474524510907,-553.836648415225,-2.58892713970923
2020-07-01 17:00:00,183,1020,-30.9199313175585,-36.5064325276104,-82.9679097688047,-9502.59971210625,-1034.90321423375,-737.296001959581,-677.219400440016,-746.826331760718,-553.860282731566,-2.58892713970923
2020-07-01 18:00:00,183,1080,-40.9070487046446,-47.2043348238173,-86.8936943066823,-9208.12391741169,-976.637991699112,-726.313359231024,-674.501132727106,-744.205263279612,-553.883643172387,-2.58892713970923
2020-07-01 19:00:00,183,1140,-50.6806950645448,-58.0028468135503,-100.533900223194,-8887.44455407749,-928.552487190709,-716.12162587878,-671.947318244598,-741.700525051556,-553.906737010545,-2.58892713970923
2020-07-01 20:00:00,183,1200,-60.6558487626802,-69.5906177449412,-117.933188419707,-8542.63687455955,-890.024910255074,-707.028777735828,-669.661232297118,-739.382559807864,-553.929580720953,-2.58892713970923
2020-07-01 21:00:00,183,1260,-71.2701154542424,-82.3279749642068,-137.890762248298,-8166.52641245407,-860.011458534248,-699.189833710351,-667.701421785978,-737.291688870134,-553.952198045502,-2.58892713970923
2020-07-01 22:00:00,183,1320,-85.1280848498033,-96.6860866857578,-159.880725325345,-7747.40331689723,-836.5098891363,-692.384780850371,-666.009685668925,-735.389029344006,-553.974613216505,-2.58892713970923
2020-07-01 23:00:00,183,1380,-103.892875013134,-113.039478855475,-183.202582886617,-7276.08368481621,-816.838807109957,-686.050584001194,-664.415953862056,-733.55950949813,-553.996840074208,-2.58892713970923
